Iteration,Time,AUC
1,23.45958,0.7724951
2,30.62219,0.7815898
3,37.47056,0.7875737
4,44.56249,0.7918936
5,50.61434,0.795492
6,57.6951,0.7983244
7,64.561,0.801596
8,71.52353,0.803917
9,78.68791,0.8066019
10,84.69647,0.8085459
11,92.02889,0.8100862
12,99.23372,0.8116716
13,106.0662,0.8129789
14,112.0153,0.8144397
15,118.9142,0.8156298
16,125.7339,0.8165246
17,132.4817,0.8175741
18,139.6438,0.818463
19,145.6799,0.8192625
20,152.5515,0.8201048
21,159.3603,0.8209452
22,166.3688,0.8216394
23,172.0428,0.8223351
24,179.16,0.8230018
25,186.2033,0.8235979
26,192.8446,0.8241138
27,198.903,0.8247048
28,205.8666,0.8253851
29,213.1282,0.8258659
30,219.6816,0.8263505
31,226.2,0.8268305
32,232.0954,0.8272658
33,239.317,0.8276391
34,246.3908,0.8280616
35,253.1287,0.828438
36,259.1026,0.8289814
37,264.6247,0.829381
38,271.7638,0.8297688
39,278.5314,0.8301032
40,285.1552,0.8304384
41,291.4338,0.8307734
42,297.0863,0.8311064
43,303.995,0.8314226
44,310.9629,0.8316546
45,317.5374,0.8319419
46,324.0149,0.8322121
47,329.5689,0.8325606
48,336.3866,0.8328585
49,342.7106,0.833153
50,349.4741,0.8333837
51,355.4248,0.8335869
52,359.4657,0.8337506
53,365.5864,0.8339814
54,371.1973,0.8341398
55,377.4768,0.8342869
56,384.5414,0.8345564
57,388.7324,0.8346812
58,392.2429,0.8347428
59,395.4461,0.8348239
60,398.2676,0.8348513
61,403.6096,0.8349936
62,406.3409,0.8350433
63,408.2072,0.8350966
64,413.794,0.8352352
65,419.5951,0.8354032
66,424.971,0.8355569
67,426.7936,0.8356071
68,431.4208,0.8357299
69,434.5414,0.8358162
70,436.9262,0.8358351
71,439.6261,0.8358922
72,442.3554,0.8359352
73,445.7401,0.8360884
74,451.239,0.8363121
75,455.2278,0.8364564
76,458.809,0.8365305
77,464.8735,0.8366484
78,468.7618,0.8368031
79,471.2257,0.8368295
80,473.1803,0.8368332
81,477.1437,0.8369055
82,481.1758,0.8369968
