Iteration,Time,AUC
1,20.89416,0.7440307
2,25.22636,0.7534415
3,29.27604,0.7617399
4,33.35497,0.76846
5,37.35501,0.7733198
6,41.2126,0.778783
7,44.70771,0.7821205
8,49.13258,0.7852895
9,51.89058,0.7878482
10,55.70303,0.7902136
11,59.49817,0.7921523
12,63.471,0.7938682
13,66.96505,0.7952053
14,70.43711,0.7962662
15,73.9355,0.7974822
16,77.33253,0.7983149
17,81.49431,0.7995313
18,84.79733,0.8007482
19,88.7488,0.8014373
20,92.36619,0.8021957
21,95.3178,0.8027005
22,98.82115,0.8034691
23,102.1034,0.8040186
24,104.4546,0.8045115
25,107.6718,0.8050257
26,111.8409,0.805661
27,115.5973,0.8061149
28,118.3629,0.8065016
29,121.7659,0.8069999
30,124.7432,0.8074027
31,128.0704,0.8078173
32,131.1473,0.8080543
33,134.3319,0.8083403
34,137.3336,0.8087411
35,140.2576,0.8089843
36,143.1898,0.8092538
37,144.8788,0.8094234
38,148.4535,0.8097269
39,152.2638,0.8103233
40,155.0833,0.8105187
41,158.3969,0.8108635
42,161.1594,0.8109727
43,164.6729,0.8113438
44,168.3062,0.8116285
45,172.2135,0.8122712
46,174.2476,0.8124611
47,176.9777,0.8125514
48,179.5867,0.8126571
49,182.0083,0.8128564
50,185.8986,0.8132318
51,189.6892,0.8136106
52,192.1603,0.8137531
53,195.0467,0.8139753
54,198.3214,0.8143542
55,201.6144,0.8147781
56,205.0144,0.8150644
57,209.4796,0.8155916
58,212.5388,0.8157053
59,215.7887,0.815882
60,218.4738,0.8160506
61,219.7891,0.8160908
62,222.4547,0.8162569
63,225.6883,0.8164487
64,228.6174,0.8165061
65,232.3563,0.8167839
66,235.525,0.8169356
67,239.6638,0.817289
68,243.3949,0.817571
69,246.3113,0.8176764
70,249.0024,0.8177652
71,251.5998,0.8179354
72,254.2129,0.8180707
73,256.6917,0.818142
74,259.7671,0.8183244
75,262.7279,0.8184232
76,265.4696,0.8186239
77,268.6472,0.8187864
78,271.6092,0.818847
79,274.0654,0.8189457
80,277.4314,0.8191517
81,281.0354,0.8194471
82,283.947,0.8195911
83,286.3567,0.8196392
84,289.4338,0.8197858
85,292.3834,0.8199449
86,294.8828,0.8199778
87,297.7378,0.8200159
88,300.2323,0.8200479
89,303.8531,0.8202055
90,307.9097,0.8204648
91,310.7637,0.8206709
92,314.7367,0.8208899
93,318.2601,0.8210605
94,321.7943,0.821306
95,325.2035,0.8216234
96,328.7415,0.8217974
97,331.3912,0.8218597
98,334.5872,0.8219796
99,337.0901,0.8220139
100,340.6304,0.8221312
101,343.7187,0.8222828
102,346.0775,0.8223487
103,348.0273,0.8224773
104,351.9026,0.8226493
105,354.4239,0.8227029
106,357.5173,0.8227995
107,360.787,0.8228696
108,363.5166,0.8229247
109,366.865,0.823063
110,370.0767,0.8231993
111,372.9446,0.8232897
112,375.3465,0.8233215
113,378.8429,0.8233947
114,381.4907,0.8234056
115,384.4466,0.8234867
116,387.5692,0.8235664
117,389.5782,0.8236384
118,392.9127,0.8237394
119,396.7606,0.8239054
120,400.5049,0.8240468
121,403.4245,0.8241108
122,406.4964,0.8241998
123,410.2383,0.8243295
124,412.9888,0.8244064
125,416.3641,0.8244972
126,418.8502,0.8245366
127,421.1388,0.824556
128,423.8739,0.824604
129,426.2817,0.8246726
130,428.9721,0.8246801
131,431.8238,0.824721
132,434.9303,0.8247829
133,439.2703,0.8249521
134,443.0538,0.8250662
135,447.0242,0.8252315
136,450.4085,0.8253243
137,453.2304,0.8253819
138,456.406,0.8254369
139,459.8938,0.8256108
140,463.6678,0.8257138
141,466.7445,0.8257713
142,469.644,0.8258134
143,473.0609,0.8258986
144,474.5572,0.8259422
145,477.939,0.8260069
146,480.8708,0.8260463
147,483.0871,0.8260538
148,485.3603,0.8260651
149,487.9527,0.8260853
150,491.1541,0.8261498
151,493.9989,0.8261674
152,496.5893,0.8262076
153,499.1807,0.826239
154,501.5899,0.8262518
155,503.45,0.8263211
156,507.5483,0.8264268
157,511.7414,0.8265489
158,514.2656,0.8265748
159,517.6645,0.8266387
160,520.4841,0.8266694
161,524.2868,0.8268459
162,527.534,0.8269113
163,531.4609,0.8270346
164,534.7036,0.8270824
165,536.2633,0.8271225
166,538.6724,0.8271371
167,541.8978,0.8271938
168,545.283,0.8273525
169,548.1498,0.8274018
170,550.8005,0.8274323
171,554.3868,0.8275176
172,557.8211,0.8277267
173,561.8196,0.8278168
174,564.8845,0.8278565
175,566.5159,0.8279024
176,569.5617,0.8279612
177,572.8811,0.8281019
178,576.3472,0.8281854
179,579.4901,0.8282597
180,583.0897,0.8284068
181,586.6809,0.8285227
182,589.4337,0.8285604
183,592.3884,0.8286345
184,596.1943,0.8287272
185,599.7615,0.8288069
186,602.2913,0.8289167
187,605.4128,0.8290095
188,608.9039,0.8290591
189,612.0994,0.8291121
190,615.7166,0.8292407
191,618.5052,0.8292819
192,621.5821,0.8293267
193,624.9216,0.8293874
194,627.24,0.8293924
195,630.1494,0.8294412
196,633.5169,0.829536
197,637.189,0.8295987
198,639.4933,0.8296076
199,641.0784,0.8296332
200,644.9909,0.8296882
201,647.7529,0.8297389
202,650.6553,0.8297837
203,654.0951,0.8298595
204,657.8416,0.8299402
205,661.3776,0.8300411
206,664.4109,0.830102
207,667.5711,0.830155
208,670.5278,0.830211
209,672.3929,0.8302431
210,676.415,0.8303344
211,679.1736,0.8303602
212,682.5526,0.8304383
213,685.7587,0.830476
214,689.0383,0.8305147
215,692.6208,0.830579
216,695.6806,0.8306153
217,699.1774,0.8306572
218,701.8187,0.8306617
219,704.3525,0.8307169
220,706.8661,0.8307307
221,709.9392,0.8307462
222,712.5833,0.8307672
223,715.4238,0.8307926
224,717.9595,0.8308009
225,720.6954,0.8308245
226,724.2825,0.8309066
227,728.3664,0.831006
228,731.8955,0.8310784
229,734.6478,0.831096
230,737.6711,0.8311211
231,741.3521,0.8311884
232,744.6934,0.8312207
233,747.7808,0.83127
234,751.9591,0.8313557
235,754.7768,0.8314642
236,757.1846,0.8315078
237,760.7721,0.8315674
238,763.4042,0.8315961
239,766.5172,0.8316435
240,770.0989,0.8317115
241,773.78,0.8317968
242,776.8857,0.8318649
243,779.7322,0.8319109
244,782.8973,0.8319392
245,786.1369,0.8320128
246,788.6687,0.832028
247,792.318,0.832108
248,796.1666,0.8321769
249,798.7525,0.8322181
250,801.931,0.8322573
251,805.0639,0.8322918
252,807.6019,0.832317
253,810.2391,0.8323274
254,813.3067,0.8323446
255,817.5228,0.8324217
256,821.3672,0.8324911
257,825.1303,0.8325504
258,828.6947,0.8325712
259,831.2689,0.8325803
260,833.9598,0.8325953
261,837.59,0.8326708
262,841.8701,0.832754
263,845.6125,0.8328967
264,849.6619,0.8329743
265,853.918,0.8330766
266,858.3561,0.8331656
267,862.0306,0.8332064
268,864.7282,0.8332168
269,867.3806,0.8332355
270,870.1818,0.8332553
271,873.827,0.833321
272,877.7416,0.833433
273,880.2954,0.8334844
274,883.4992,0.8335023
275,887.2204,0.8335421
276,890.6217,0.83359
277,893.2718,0.8336069
278,895.8902,0.8336176
279,899.0817,0.8336531
280,902.4332,0.8336791
281,906.4653,0.8337278
282,909.6626,0.8337594
283,912.0124,0.8337638
284,914.367,0.8337715
285,916.6357,0.8338418
286,920.3373,0.8338768
287,923.6709,0.8339153
288,926.692,0.8339693
289,929.1575,0.8339776
290,933.1994,0.8340539
291,935.6396,0.8340585
292,938.5537,0.8340683
293,941.2424,0.8340846
294,944.8993,0.8341489
295,947.8996,0.8341971
296,951.3304,0.8342316
297,954.6263,0.8342731
298,958.3164,0.8343287
299,960.7322,0.8343715
300,963.7407,0.8344292
301,967.3073,0.8344923
302,970.4343,0.8345061
303,974.1798,0.8345379
304,976.8892,0.8345522
305,980.865,0.8346082
306,984.7713,0.8346489
307,988.363,0.834695
308,991.495,0.8347187
309,994.5498,0.8347438
310,997.6542,0.8347801
311,1000.908,0.8348358
312,1002.619,0.8348504
313,1005.656,0.8348637
314,1008.96,0.8348983
315,1012.633,0.8349239
316,1016.385,0.8349453
317,1019.956,0.8350157
318,1023.462,0.8350514
319,1026.466,0.8350943
320,1029.86,0.8351333
321,1032.114,0.8351364
322,1035.808,0.8351739
323,1038.723,0.8351937
324,1041.137,0.8352272
325,1045.028,0.8352814
326,1048.006,0.8353072
327,1051.393,0.8353433
328,1055.018,0.8353818
329,1058.087,0.8354132
330,1061.06,0.8354378
331,1064.65,0.8354642
332,1068.016,0.8355138
333,1071.092,0.8355325
334,1074.189,0.8355472
335,1077.436,0.8355848
336,1080.164,0.8356143
337,1082.94,0.8356275
338,1084.741,0.8356529
339,1086.953,0.8356594
340,1089.405,0.8356611
341,1092.12,0.8356663
342,1095.883,0.8357073
343,1099.838,0.8357647
344,1102.59,0.8357883
345,1105.629,0.8358146
346,1109.351,0.835862
347,1112.442,0.8359031
348,1115.778,0.8359435
349,1119.568,0.8359815
350,1122.615,0.8359925
351,1125.14,0.836021
352,1128.471,0.8360377
353,1131.879,0.8360728
354,1134.678,0.8360801
355,1137.433,0.8360983
356,1141.126,0.8361193
357,1144.994,0.8361576
358,1149.084,0.836232
359,1151.93,0.8362442
360,1154.933,0.8362813
361,1157.569,0.8362862
362,1160.194,0.8363307
363,1163.079,0.8363469
364,1165.951,0.8363776
365,1169.063,0.836418
366,1172.011,0.8364457
367,1175.28,0.8364707
368,1178.539,0.8364911
369,1182.715,0.8365249
370,1186.083,0.836542
371,1189.305,0.8365748
372,1191.98,0.8365874
373,1195.27,0.8366016
374,1197.029,0.8366142
375,1199.717,0.836629
376,1203.115,0.8366614
377,1206.085,0.8366787
378,1209.682,0.8367275
379,1212.668,0.8367508
380,1215.664,0.836762
381,1218.265,0.8367766
382,1220.78,0.8367863
383,1223.435,0.8368015
384,1226.455,0.8368156
385,1229.36,0.8368407
386,1232.784,0.8368569
387,1235.193,0.8368947
388,1237.661,0.8369071
389,1240.354,0.8369149
390,1243.924,0.8369409
391,1246.912,0.8369496
392,1250.494,0.8369763
393,1254.461,0.8370091
394,1257.987,0.8370255
395,1260.757,0.837037
396,1263.395,0.8370416
397,1265.829,0.8370464
398,1269.023,0.8370598
399,1272.104,0.8370755
400,1275.548,0.8371119
401,1277.617,0.8371289
402,1280.332,0.8371456
403,1284.23,0.8371727
404,1286.432,0.8371748
405,1289.124,0.8371754
406,1292.406,0.8371974
407,1295.22,0.8372092
408,1298.695,0.83724
409,1301.999,0.837264
410,1304.411,0.8372688
411,1307.013,0.8372728
412,1310.286,0.8373028
413,1313.803,0.8373196
414,1316.185,0.8373218
415,1317.917,0.8373327
416,1321.565,0.8373677
417,1324.339,0.8373856
418,1327.666,0.8374035
419,1331.393,0.8374344
420,1334.618,0.8374674
421,1336.849,0.8374669
422,1339.834,0.8374816
423,1342.114,0.8374868
424,1344.66,0.8374935
425,1347.255,0.837503
426,1351.108,0.8375255
427,1353.896,0.8375577
428,1356.832,0.8375778
429,1359.733,0.8375895
430,1362.59,0.8375986
431,1364.922,0.8376078
432,1367.847,0.837628
433,1370.345,0.837638
434,1373.166,0.8376507
435,1375.991,0.8376605
436,1378.834,0.8376707
437,1382.937,0.8377332
438,1386.645,0.8377718
439,1389.829,0.8377971
