Iteration,Time,AUC
1,6.706245,0.6509892
2,8.175659,0.6509897
3,10.5331,0.6634472
4,12.41625,0.663446
5,14.76813,0.6633403
6,16.97874,0.6634237
7,18.31436,0.6633335
8,20.67004,0.6633302
9,22.43186,0.663398
10,25.0127,0.6650475
11,26.69125,0.6650482
12,29.10753,0.6650613
13,31.35875,0.6650509
14,33.9038,0.6650471
15,36.45499,0.6655377
16,39.04499,0.6720503
17,40.94813,0.6720585
18,43.545,0.6723288
19,45.28503,0.6723287
20,48.12878,0.6756691
21,50.78002,0.6756299
22,52.66624,0.6756019
23,55.48812,0.6755973
24,57.13501,0.6756019
25,60.1388,0.6756928
26,62.44129,0.6756793
27,64.18755,0.6763398
28,66.5481,0.675691
29,69.46684,0.6753925
30,71.35439,0.6753855
31,74.13626,0.6752132
32,75.9825,0.6749341
33,78.74749,0.6746896
34,82.01749,0.6754809
35,84.1738,0.6753932
36,86.79562,0.6762026
37,89.66687,0.6797228
38,91.88689,0.680335
39,94.93756,0.6802499
40,97.62878,0.6802712
41,99.6275,0.6803043
42,102.8287,0.6805722
43,105.8406,0.6816573
44,108.0638,0.6818422
45,111.7,0.6816325
46,113.9856,0.6826818
47,116.6219,0.682668
48,120.2531,0.6824841
49,122.8562,0.6828493
50,126.4388,0.6824603
51,128.8731,0.6831939
52,131.1206,0.6830308
53,134.655,0.6861419
54,137.905,0.6865228
55,140.5887,0.6865924
56,143.8768,0.687349
57,146.4957,0.6879839
58,149.5588,0.6881787
59,152.2294,0.6888147
60,156.1388,0.6890293
61,158.9188,0.6890545
62,162.235,0.6890631
63,164.4256,0.6890641
64,167.7675,0.688754
65,170.6694,0.6888565
66,174.0325,0.6894346
67,177.5643,0.6897927
68,180.6062,0.6897881
69,183.2656,0.6898228
70,187.2162,0.6898856
71,189.9637,0.6898786
72,193.0594,0.6897985
73,197.075,0.6898145
74,200.1544,0.6898257
75,203.2781,0.6898361
76,206.2969,0.6898028
77,210.3,0.6900855
78,213.4631,0.6900049
79,216.3,0.68993
80,220.2063,0.6901468
81,222.9057,0.6897706
82,226.9232,0.6894641
83,230.0613,0.689151
84,233.0294,0.6890677
85,236.6419,0.6891069
86,239.3256,0.6892375
87,242.5431,0.6895656
88,245.3006,0.689768
89,249.0006,0.6897166
90,251.8238,0.6898226
91,255.3769,0.6899889
92,258.1981,0.6908316
93,262.1238,0.6908642
94,265.245,0.6911464
95,268.0607,0.6911624
96,272.0288,0.6911134
97,275.1994,0.6915049
98,279.1113,0.6914133
99,281.9238,0.6918575
100,285.2494,0.6920454
101,289.7775,0.6922002
102,292.9075,0.692403
103,295.9331,0.6924362
104,299.9257,0.692656
105,303.5588,0.6928858
106,306.8569,0.6931225
107,309.8863,0.6933057
108,313.7057,0.6933353
109,316.8156,0.6932879
110,320.9062,0.6937745
111,323.4869,0.6938683
112,327.7356,0.6940674
113,330.8131,0.6940553
114,333.7681,0.6940591
115,337.7,0.6944747
116,341.23,0.694417
117,344.1213,0.6959028
118,348.2,0.6961773
119,351.25,0.6959188
120,354.9219,0.6960051
121,358.0162,0.6960191
122,361.185,0.6960661
