Iteration,Time,AUC
1,17.61207,0.607209
2,35.05926,0.6072447
3,52.68447,0.607245
4,70.00118,0.6072612
5,87.3648,0.608211
6,104.5691,0.608219
7,121.9635,0.6082208
8,139.4853,0.6082191
9,155.347,0.6082343
10,172.9077,0.6082334
11,189.99,0.6082478
12,207.6133,0.6082533
13,225.2217,0.6082543
14,242.8361,0.6082548
15,260.3046,0.6082576
16,277.4959,0.609211
17,294.754,0.6092098
18,311.9255,0.6092106
19,329.098,0.6092144
20,346.1187,0.609215
21,363.4555,0.609216
22,380.7722,0.6092147
23,398.3412,0.6092
24,415.6838,0.6096616
25,433.707,0.6507291
26,451.1956,0.6507287
27,468.5286,0.6521138
28,485.8637,0.652111
29,503.4416,0.6521081
30,520.7599,0.6527202
31,537.6578,0.652721
32,554.7148,0.6529107
33,571.8591,0.6611058
34,589.4978,0.6722573
35,606.7347,0.6721842
36,624.2291,0.6721744
37,642.0472,0.6721925
38,659.5324,0.6720967
39,677.3561,0.6720961
40,695.0667,0.6720548
41,712.3454,0.6720604
42,730.1069,0.6719722
43,747.0764,0.672736
44,764.1594,0.6728774
45,781.6395,0.6731071
46,799.4378,0.6732665
47,816.5119,0.6732708
48,834.11,0.6775202
49,851.4792,0.6800415
50,869.1438,0.6799676
51,886.5396,0.6801175
52,904.0663,0.6813278
53,921.49,0.681242
54,939.3323,0.681258
55,956.7815,0.6811899
56,974.3602,0.6814455
57,991.5745,0.6814771
58,1009.122,0.6820389
59,1027.192,0.681819
60,1045.125,0.6816424
61,1062.406,0.6815863
62,1079.952,0.681612
63,1097.632,0.6816124
64,1115.228,0.6818281
65,1131.728,0.6818802
66,1149.649,0.6824814
67,1167.383,0.6822134
68,1185.111,0.6821253
69,1202.894,0.6828442
70,1220.524,0.6830349
71,1238.181,0.6831343
72,1255.729,0.6840752
73,1273.528,0.6847876
74,1291.121,0.6863275
75,1308.737,0.6872111
76,1326.502,0.6877972
77,1344.099,0.6883776
78,1361.187,0.6886081
79,1378.813,0.6925387
80,1395.938,0.6942309
81,1413.742,0.6952248
82,1431.242,0.6951463
83,1448.845,0.6976576
84,1466.049,0.6976764
85,1483.659,0.6978426
86,1501.167,0.6979688
87,1518.476,0.6985587
88,1536.22,0.6987457
89,1553.744,0.6992557
90,1571.402,0.7045742
91,1589.027,0.7058217
92,1607.42,0.7058747
93,1625.148,0.7062592
94,1642.876,0.7065326
95,1660.404,0.7067929
96,1677.739,0.7074525
97,1695.437,0.7078961
98,1713.003,0.7079769
99,1730.925,0.7083947
100,1748.55,0.7078665
101,1766.043,0.7084084
102,1783.148,0.708972
103,1800.767,0.7085371
104,1818.584,0.7088061
