Iteration,Time,AUC
1,5.688131,0.6087101
2,12.46436,0.6086934
3,19.10747,0.6086834
4,25.65253,0.6086809
5,32.55688,0.6086792
6,38.96192,0.6086807
7,45.60621,0.6086816
8,52.155,0.6086816
9,57.17119,0.6086813
10,64.15308,0.6086818
11,70.94625,0.6091147
12,77.55946,0.6499839
13,84.04438,0.6499852
14,89.92876,0.649985
15,96.79308,0.6499948
16,103.0238,0.6499967
17,108.3275,0.6514049
18,115.2997,0.6514016
19,121.6656,0.6598076
20,128.1381,0.6714009
21,135.2256,0.6715472
22,141.9024,0.6715462
23,148.8819,0.6715427
24,154.45,0.671543
25,160.7731,0.6719848
26,167.7,0.6719858
27,174.5869,0.6719846
28,181.4444,0.6719876
29,188.0944,0.6718261
30,195.0131,0.6719674
31,201.0144,0.6726985
32,208.1712,0.6728468
33,214.9644,0.6728473
34,221.1994,0.6728482
35,227.8563,0.6728488
36,234.2744,0.6728481
37,240.9219,0.6728485
38,247.0068,0.6729426
39,253.3869,0.6729424
40,259.9625,0.6729441
41,266.7931,0.6729438
42,273.6087,0.6729411
43,280.1225,0.6731792
44,287.0137,0.6733773
45,294.0469,0.6738688
46,299.7762,0.6763026
47,306.4206,0.6761673
48,313.7113,0.6761673
49,320.11,0.6767247
50,326.8351,0.6759754
51,333.5569,0.6764558
52,340.2818,0.6766284
53,346.6233,0.6763625
54,352.0594,0.6763483
55,359.2194,0.6763263
56,366.2812,0.6763186
57,372.8356,0.6767786
58,379.0006,0.6767692
59,386.0405,0.6760836
60,392.7019,0.6760979
61,398.1987,0.6767198
62,405.6969,0.6770827
63,412.625,0.6770673
64,419.1813,0.6770487
65,425.6394,0.6770284
66,431.3363,0.6770242
67,438.3087,0.6811368
68,445.2506,0.6811296
69,451.8875,0.6811173
70,457.9443,0.6810695
71,464.9294,0.6810629
72,471.9219,0.6810616
73,477.3375,0.681061
74,484.1994,0.6809134
75,490.9144,0.6809254
76,498.2594,0.680904
77,505.0544,0.680904
78,511.7637,0.6820928
79,518.5881,0.6827517
80,524.3375,0.6829003
81,530.665,0.6829433
82,537.7462,0.6829202
83,544.7881,0.6829155
84,551.5075,0.6827328
85,558.4994,0.6828903
86,565.5563,0.6863744
87,571.1875,0.6872537
88,577.4975,0.6872226
89,584.2156,0.6872086
90,591.3744,0.6872499
91,598.1706,0.6872426
92,605.0469,0.6872554
93,610.6944,0.6878168
94,617.765,0.6871214
95,624.4318,0.6874124
96,631.4381,0.6882886
97,638.5443,0.6888521
98,644.6031,0.6888258
99,651.6256,0.6893258
100,658.6093,0.6893593
101,665.1994,0.6899301
102,672.1706,0.6893548
103,679.0594,0.6899122
104,684.6669,0.6899293
105,691.4531,0.6899038
106,698.2775,0.6899518
107,705.3368,0.6898051
108,711.8219,0.6898013
109,718.3525,0.6897382
110,725.2025,0.689727
111,731.8506,0.6900187
112,738.4137,0.6905819
113,744.7031,0.6905758
114,751.8051,0.6905032
115,758.685,0.6921581
116,765.5894,0.6927268
117,772.1356,0.6927436
118,778.5225,0.6929268
119,784.3362,0.6931531
120,791.7882,0.6934322
121,798.8394,0.6937096
122,805.6644,0.693801
123,811.0619,0.6941002
124,817.8075,0.6941707
125,824.7,0.6941095
126,831.6056,0.6943416
127,838.1962,0.6953353
128,845.5281,0.6954087
129,852.5444,0.6953899
130,858.5113,0.6955181
131,864.898,0.6954484
132,871.6875,0.6954078
133,878.1219,0.6954334
134,885.0225,0.6955866
135,891.1544,0.6957094
136,898.0123,0.695707
137,905.0613,0.7018723
138,912.305,0.7020101
139,919.0237,0.7025975
140,924.4937,0.7033017
141,931.1832,0.7036799
142,938.0575,0.7035662
143,944.4506,0.7051554
144,951.1869,0.7052855
145,957.4637,0.705427
146,964.9462,0.7056919
147,971.8975,0.7060159
