Iteration,Time,AUC
1,5.017548,0.6572857
2,11.08063,0.6572745
3,15.6269,0.6572723
4,20.03378,0.663523
5,25.12942,0.675387
6,29.22319,0.6753869
7,34.59822,0.6766709
8,40.16754,0.6769096
9,44.59061,0.6777103
10,49.37378,0.6768956
11,54.84318,0.6769116
12,60.31378,0.6768951
13,64.57507,0.6768595
14,69.49758,0.6768316
15,74.33129,0.6772166
16,79.70445,0.6783972
17,84.42261,0.6778262
18,90.0182,0.6785887
19,94.7376,0.6785831
20,100.0826,0.6847269
21,104.4226,0.6834286
22,109.7294,0.6834523
23,114.6606,0.6833228
24,119.2163,0.6834731
25,124.9569,0.6835877
26,129.4657,0.6835822
27,134.97,0.6834688
28,139.0807,0.6846435
29,144.3857,0.684672
30,149.5313,0.6846522
31,154.3231,0.6844511
32,160.0195,0.6846552
33,164.935,0.6833497
34,170.5038,0.6833223
35,175.0188,0.6830543
36,179.2181,0.6832804
37,184.5326,0.6831035
38,189.2938,0.6832863
39,195.1426,0.6831679
40,199.7,0.6845813
41,205.5601,0.6845828
42,209.9188,0.6845345
43,215.2075,0.6847145
44,219.87,0.6842891
45,225.215,0.6843971
46,229.8151,0.684401
47,234.7681,0.6843882
48,240.7201,0.6843834
49,245.7369,0.6844257
50,250.3894,0.684408
51,255.7338,0.6843937
52,260.1438,0.6842566
53,265.6362,0.6842496
54,270.2388,0.684463
55,275.2038,0.6844795
56,281.1207,0.6845984
57,286.1888,0.6843854
58,290.7207,0.6844041
59,296.1719,0.6843613
60,300.4201,0.6845829
61,305.875,0.6848591
62,310.4501,0.6848277
63,315.9407,0.6847771
64,320.627,0.6849067
65,325.2632,0.6850442
66,330.4644,0.6850917
67,335.3307,0.6850236
68,340.6856,0.6851581
69,345.1825,0.6848954
70,350.9838,0.6846812
71,355.3869,0.6847578
72,360.84,0.6846684
73,366.4557,0.6846348
74,371.0582,0.6846766
75,375.3113,0.6846892
76,380.7213,0.6846495
77,386.3438,0.684612
78,390.8394,0.6850111
79,395.8944,0.6848855
80,401.3576,0.6849741
81,405.8269,0.6852326
82,411.27,0.6857147
83,415.8658,0.6880304
84,420.1238,0.6877272
85,426.1388,0.6883709
86,430.6257,0.6887044
87,436.1725,0.6890901
88,440.6888,0.6892997
89,446.0782,0.6893826
90,450.8388,0.6900451
91,456.1826,0.6910186
92,460.8863,0.6910427
93,465.6838,0.6912259
94,471.4694,0.691246
95,476.2294,0.6913162
96,482.0481,0.691534
97,486.417,0.6915959
98,491.872,0.691772
99,496.1732,0.6918406
100,501.9663,0.6919591
101,507.082,0.6919439
102,512.9388,0.6920674
103,517.4545,0.6920779
104,522.0801,0.6919346
105,527.7182,0.6919326
106,531.9538,0.6920699
107,536.5919,0.6920458
108,542.4013,0.6921756
109,547.1582,0.6922188
110,552.1907,0.6921902
111,557.762,0.6922551
112,562.1751,0.6921218
113,567.67,0.6920124
114,572.2226,0.6916012
115,577.5513,0.6917375
116,582.4069,0.6927331
117,588.0982,0.6953753
118,592.5619,0.6970601
119,598.2945,0.6997614
120,602.9882,0.6992129
121,607.715,0.6995804
122,613.4112,0.6992636
123,618.1132,0.6995666
124,624.0013,0.6995393
125,628.7332,0.6996947
126,633.5475,0.6995514
127,639.5344,0.6996292
128,644.1825,0.6997252
129,649.7182,0.6994301
130,654.345,0.6995897
131,659.9569,0.6992645
132,664.8132,0.6991874
133,669.66,0.6990115
134,675.3751,0.6989942
135,680.1688,0.7014346
136,684.7519,0.7014451
137,689.9977,0.7015149
138,694.6582,0.7011959
139,700.5288,0.7014412
140,705.2226,0.7011638
141,711.0556,0.7015699
142,715.7201,0.7020271
143,720.7457,0.7020905
144,726.0195,0.7018904
145,730.3545,0.7020907
146,736.1911,0.7019995
147,741.0745,0.7020335
148,745.9407,0.7027346
149,751.8469,0.7028163
150,756.5513,0.7028858
151,762.3263,0.7025636
152,767.1726,0.7031074
153,772.6532,0.7028191
154,777.4219,0.7024734
155,782.3732,0.7026545
156,788.0801,0.7025221
157,793.2057,0.7029025
158,798.4682,0.7033277
159,802.8638,0.7032822
160,808.31,0.7036438
161,812.9676,0.7035591
162,818.0757,0.7038411
163,823.8282,0.7036964
164,828.8482,0.7040295
165,834.3438,0.7038205
166,838.6451,0.7037336
167,844.1251,0.7035859
168,848.7151,0.7037337
169,853.9826,0.7036069
170,860.0157,0.7033243
171,865.0913,0.7034406
172,870.3932,0.7033856
173,875.8082,0.7034735
174,880.2507,0.703532
175,884.905,0.7036445
176,890.5276,0.7039643
177,895.672,0.7039678
178,900.6513,0.7037919
179,906.8575,0.7041487
180,911.2306,0.7040154
181,916.4326,0.7040759
182,921.69,0.7044558
183,927.2832,0.7045009
184,932.222,0.7044828
185,938.1882,0.7044188
186,943.0438,0.7043546
187,948.8464,0.7043814
188,953.1063,0.7049853
189,958.5507,0.7050065
190,963.3576,0.7051502
191,968.3607,0.7051063
192,974.0769,0.705332
193,979.1419,0.7054648
194,984.6376,0.7058425
195,989.4356,0.7061179
196,994.3544,0.706291
197,999.8764,0.7066475
198,1004.766,0.7066366
199,1009.962,0.7068658
200,1015.736,0.7072162
201,1021.902,0.7071095
202,1026.862,0.70714
203,1031.582,0.7072144
204,1037.23,0.7071514
205,1042.129,0.7075152
206,1047.949,0.7075531
207,1053.018,0.707971
208,1058.904,0.708037
209,1064.091,0.7084992
210,1068.643,0.7086011
211,1074.153,0.7088976
212,1079.014,0.7089801
213,1085.027,0.7092701
214,1090.122,0.7094978
215,1095.051,0.7094785
216,1100.909,0.7096627
217,1106.339,0.7095939
218,1110.873,0.7097038
219,1116.609,0.709759
220,1121.886,0.7096744
221,1127.137,0.7097134
222,1133.419,0.7098362
223,1138.373,0.7098794
224,1144.269,0.7099559
225,1148.92,0.7103465
226,1153.652,0.71047
227,1159.793,0.71061
228,1164.846,0.7108392
229,1170.878,0.7107716
230,1175.892,0.7109064
231,1180.816,0.7109693
232,1186.239,0.7109412
233,1191.028,0.7111037
234,1196.613,0.7111869
235,1201.706,0.7113098
236,1207.251,0.7112465
237,1212.141,0.7114114
238,1217.965,0.7115358
239,1222.548,0.7114321
240,1227.953,0.7113625
241,1232.294,0.7112898
242,1238.187,0.7115039
243,1243.059,0.711612
244,1248.453,0.7116533
245,1254.145,0.7117559
246,1259.046,0.7117359
247,1263.903,0.7118452
248,1269.495,0.7119582
249,1274.043,0.7120545
250,1279.719,0.7121425
251,1284.605,0.7121294
252,1290.371,0.7121982
253,1295.371,0.712218
254,1300.909,0.7122939
255,1305.221,0.7125565
256,1310.546,0.7125924
257,1315.745,0.7125293
258,1321.564,0.7125772
259,1326.27,0.7127196
260,1332.044,0.7128521
261,1337.074,0.7127665
262,1341.254,0.7128966
263,1346.732,0.7131225
264,1351.625,0.7134092
265,1357.563,0.7135438
266,1362.61,0.713595
267,1368.31,0.7135539
268,1373.167,0.7135937
269,1377.983,0.7136163
270,1383.444,0.7135217
271,1388.203,0.7138258
272,1394.051,0.7139923
273,1399.236,0.7140219
274,1404.298,0.7139375
