Iteration,Time,AUC
1,6.684018,0.6082092
2,7.934036,0.6082021
3,9.034687,0.6082068
4,10.26474,0.6082047
5,11.52923,0.6082062
6,12.80414,0.6081965
7,12.9778,0.6082001
8,14.19103,0.6081999
9,15.49706,0.6082056
10,16.7497,0.6082042
11,18.19591,0.6082055
12,19.50821,0.6082114
13,19.80186,0.6082114
14,21.10584,0.6091403
15,22.42209,0.609151
16,24.00888,0.6091504
17,25.32586,0.6091554
18,26.66988,0.6099137
19,28.02405,0.6099135
20,28.35724,0.6099135
21,29.67609,0.6099145
22,30.98216,0.6099149
23,32.42823,0.609915
24,33.69574,0.6519864
25,35.1039,0.6626726
26,36.52578,0.6626756
27,36.88765,0.6625466
28,38.27262,0.6638484
29,39.53603,0.6625491
30,40.7379,0.6638426
31,42.181,0.6638422
32,43.55324,0.6638431
33,44.94732,0.6638433
34,45.29689,0.6638445
35,46.65564,0.663845
36,48.0152,0.6638299
37,49.36479,0.6638291
38,50.85051,0.6713471
39,52.1445,0.6713482
40,53.57248,0.6712489
41,53.8395,0.6712491
42,55.29475,0.6712488
43,56.80398,0.6713486
44,58.22818,0.6710561
45,59.58706,0.6711603
46,61.22324,0.6706696
47,61.70749,0.670881
48,63.16254,0.6708934
49,64.67295,0.6724722
50,66.10368,0.672468
51,67.75081,0.6724564
52,68.38559,0.6724821
53,69.88012,0.6724817
54,71.43528,0.6724804
55,72.89114,0.6731808
56,74.51113,0.6731186
57,76.05157,0.6728284
58,76.7422,0.6729301
59,78.37157,0.6730438
60,79.99762,0.6753717
61,81.61078,0.675375
62,82.2487,0.6753749
63,84.04427,0.6753854
64,85.74248,0.6756093
65,87.31599,0.6753805
66,87.91309,0.6755371
67,89.50115,0.6755458
68,91.14023,0.675538
69,92.78777,0.6755257
70,94.42466,0.6760118
71,95.08365,0.6759935
72,96.84699,0.6759904
73,98.46211,0.6758838
74,100.1452,0.6800925
75,100.909,0.6809018
76,102.5764,0.6808652
77,104.3379,0.6809149
78,106.0566,0.6809149
79,106.7205,0.6808287
80,108.4178,0.6807176
81,109.9763,0.68069
82,111.7009,0.6807007
83,113.3696,0.6807354
84,114.9115,0.6808038
85,115.6706,0.6809279
86,117.4613,0.6809088
87,119.0842,0.6820108
88,120.6872,0.6819841
89,122.4672,0.6820011
90,123.3565,0.6858486
91,125.242,0.6873365
92,127.107,0.6872731
93,128.8251,0.687219
94,129.8522,0.6877402
95,131.6185,0.6877549
96,133.3668,0.6879574
97,135.2671,0.6888555
98,136.0239,0.6888506
99,138.0263,0.6886805
100,139.7689,0.6887279
101,141.8002,0.6888182
102,142.504,0.6894048
103,144.178,0.6894481
104,146.0333,0.6888992
105,147.7424,0.6888997
106,149.4275,0.6898938
107,150.2227,0.689901
108,152.0051,0.6899188
109,153.7207,0.6902128
110,155.4549,0.6901609
111,156.2362,0.6902399
112,158.0813,0.6902304
113,159.715,0.6902094
114,161.4992,0.6901941
115,163.1592,0.6905534
116,163.732,0.690505
117,165.3024,0.6912248
118,167.0757,0.691239
119,168.9901,0.6912467
120,170.6947,0.6911336
121,171.3879,0.6913237
122,173.0129,0.6916432
123,174.7914,0.6930818
124,176.5016,0.693227
125,177.3006,0.6934104
126,179.0426,0.6937176
127,180.9464,0.694457
128,182.8158,0.6946096
129,183.6095,0.694577
130,185.3862,0.6944643
131,187.1925,0.694794
132,188.8106,0.6951822
133,190.5965,0.6955726
134,191.36,0.6957421
135,193.1531,0.696158
136,194.849,0.6961414
137,196.8975,0.6965353
138,198.6156,0.6973813
139,199.3963,0.6976532
140,201.5385,0.6987459
141,203.4379,0.6987097
142,205.2468,0.6989659
143,207.0985,0.6991122
144,207.9507,0.6991668
145,209.9689,0.7047136
146,212.2024,0.7050391
147,213.9035,0.7054193
148,214.9681,0.7058713
149,217.0923,0.7059597
150,219.05,0.7060563
151,221.171,0.7063306
152,222.4349,0.706117
153,224.3212,0.7057926
154,226.428,0.7058611
155,228.0843,0.7056932
156,230.1313,0.7057774
157,232.7375,0.705906
158,234.2469,0.7058383
159,236.2694,0.7059383
160,238.4518,0.7059584
161,240.4281,0.7061674
162,241.6132,0.7058394
163,243.9673,0.7060226
164,246.2878,0.7060097
165,247.2689,0.7061362
166,249.3385,0.7062051
167,251.6966,0.7065312
168,253.8475,0.7066257
169,255.0935,0.7064714
170,257.458,0.7065214
171,259.8622,0.7066687
172,260.9759,0.7068743
173,263.2673,0.7071742
174,265.4249,0.7087859
175,267.7382,0.7090726
176,269.2001,0.7089888
177,271.4536,0.7090049
178,273.4984,0.7100005
179,274.7376,0.7101873
180,276.9007,0.7104688
181,279.2084,0.7105506
182,281.1352,0.7108148
183,282.4906,0.7106642
184,284.8368,0.7102924
185,287.1824,0.7104761
186,288.5027,0.7107765
187,290.7388,0.7107179
188,292.7514,0.7110178
189,293.8444,0.7110089
190,296.0285,0.7112706
191,297.972,0.7113634
192,299.9168,0.7114536
193,301.0476,0.7112205
194,303.1739,0.710778
195,305.0738,0.7109058
196,307.0796,0.7112247
197,309.1509,0.7111848
198,310.2833,0.7115022
199,312.447,0.7115518
200,314.3576,0.7117754
201,316.6568,0.7122496
202,318.729,0.7121314
203,319.7958,0.7124239
204,321.9365,0.7124443
205,323.9445,0.7123952
206,325.2048,0.7129313
207,327.2875,0.7130489
208,329.4487,0.7133613
209,331.9494,0.7131947
210,333.0544,0.7133538
211,335.0416,0.7137412
212,337.009,0.7135298
213,339.1796,0.713602
214,341.0968,0.7135849
215,342.2601,0.7134341
216,344.524,0.7134237
217,346.7653,0.7138443
218,348.126,0.7139786
219,350.3824,0.7137779
220,351.5618,0.7142681
221,353.7949,0.7143535
222,355.9816,0.7141506
223,358.022,0.7140958
224,359.1736,0.7140138
225,361.171,0.7142721
226,363.5015,0.7150121
227,364.7815,0.7154676
228,366.7711,0.7155496
229,369.0618,0.716289
230,371.1033,0.716162
231,372.3384,0.7171479
232,374.2972,0.7175369
233,376.4527,0.717135
234,377.6496,0.7170736
235,379.7727,0.7173943
236,381.8303,0.7174336
237,384.044,0.7173932
238,385.2197,0.717181
239,387.3791,0.7179608
240,389.3417,0.7182075
241,391.6817,0.7181814
242,392.736,0.7182969
243,394.9186,0.7182806
244,397.2394,0.7181527
245,398.3506,0.7181449
246,400.4371,0.7182796
247,402.685,0.7183939
248,404.9046,0.7185862
249,405.8836,0.7186884
250,408.0758,0.7191095
251,410.2313,0.718887
252,412.5154,0.718844
253,413.5404,0.7192585
254,415.8628,0.7191933
255,417.8968,0.7193895
256,419.3282,0.719511
257,421.3569,0.7195135
258,423.5057,0.720235
259,424.4236,0.7202871
260,426.5607,0.7202725
261,428.8675,0.7201339
262,431.0209,0.7201623
263,432.0096,0.7199446
264,434.2155,0.7201512
265,436.0051,0.720144
266,437.0382,0.7201978
267,438.9472,0.7205324
268,440.7126,0.7204843
269,442.6345,0.7205492
270,443.8702,0.7206283
271,445.8351,0.7205347
272,447.9283,0.7204426
273,449.936,0.7205178
274,450.9786,0.7208147
275,453.1025,0.7215225
276,455.0124,0.7215883
277,457.0899,0.7220741
278,457.9256,0.7225487
279,459.9724,0.7228896
280,461.7622,0.7228652
281,463.6371,0.722833
282,464.536,0.7232121
283,466.7177,0.7234559
284,468.8613,0.7233034
285,470.8713,0.7233028
286,471.9225,0.7233796
287,474.0125,0.7233621
288,476.4217,0.7236172
289,477.4735,0.723918
290,479.466,0.7237219
291,481.5014,0.7236981
292,482.5848,0.7237092
293,484.5216,0.7236507
294,486.608,0.7236667
295,488.4662,0.7235335
296,489.5384,0.7234164
297,491.5939,0.7234703
298,493.2341,0.7235949
299,494.942,0.7235799
300,495.8104,0.7235816
301,497.7593,0.723577
302,499.5217,0.7236733
303,501.3254,0.7239337
304,501.8973,0.7239464
305,504.0286,0.7239528
306,505.8527,0.7240122
307,507.7464,0.7239695
308,508.2158,0.7240144
309,509.7856,0.7238258
310,511.8462,0.7237537
311,513.5968,0.7238301
312,515.434,0.7241386
313,516.3865,0.7239419
314,518.2888,0.7239698
315,519.9373,0.7239345
316,521.7605,0.7241674
317,522.9605,0.7241024
318,524.7995,0.7243373
319,526.3028,0.7242901
320,528.2142,0.7240794
321,530.0543,0.7244312
322,530.8665,0.7244901
323,532.5621,0.724637
324,534.4331,0.7246865
325,535.9412,0.7249084
326,537.3511,0.7247921
327,537.9104,0.7250016
328,539.3696,0.7250211
329,540.4514,0.7249385
330,542.1983,0.7248349
331,543.2942,0.7247662
332,544.8976,0.724644
333,545.4428,0.7245406
334,546.6597,0.7243874
335,548.1545,0.7243763
336,549.7845,0.7243328
337,550.4727,0.7241923
338,551.6318,0.7240985
339,553.1222,0.724077
340,554.9667,0.7240176
341,556.2721,0.7239572
342,556.9096,0.7239285
343,558.4013,0.7241075
344,559.9168,0.7240868
345,561.3412,0.7238816
346,562.7293,0.7239265
347,564.5562,0.7239329
348,565.9067,0.7239634
349,566.1056,0.7240503
350,567.3218,0.7240417
351,568.4444,0.7240239
352,569.6883,0.7240949
353,571.3278,0.7240914
354,572.7027,0.7241211
355,572.8505,0.724145
356,574.1651,0.7243183
357,575.6239,0.7244045
358,576.6695,0.7242632
359,577.8576,0.7242641
360,578.9662,0.7241342
361,580.5678,0.7243715
362,580.9476,0.7243476
363,582.3444,0.7244219
364,583.5498,0.7244177
365,585.0472,0.7244903
366,586.1937,0.7244225
367,586.6599,0.7242168
368,588.4564,0.7244603
369,589.4524,0.7244176
370,590.933,0.7245566
371,592.6837,0.7246062
372,593.2451,0.724526
373,594.3711,0.7244547
374,595.5122,0.7245177
375,596.7959,0.7243122
376,598.43,0.7244156
377,599.6696,0.7244448
378,600.3754,0.7245819
379,601.9656,0.724735
380,603.056,0.7245831
381,604.3497,0.7245565
382,605.7453,0.7244782
383,606.3346,0.7245076
384,608.167,0.7244408
385,609.3117,0.7245746
386,610.4812,0.7245807
387,611.6656,0.7245293
388,612.8311,0.7244097
389,613.3916,0.7243565
390,614.7009,0.7243184
391,616.1122,0.7243751
392,617.2207,0.7244359
393,618.4344,0.7242995
394,619.7728,0.7244708
395,620.1234,0.7244361
396,621.1645,0.7244337
397,622.6658,0.7243879
398,624.1371,0.7243584
399,625.4785,0.7243047
400,626.5773,0.7243058
