Iteration,Time,AUC
1,16.30906,0.5934537
2,17.23803,0.5992069
3,17.90741,0.5992106
4,18.57624,0.5992069
5,19.24813,0.5992069
6,19.90107,0.5992106
7,20.57348,0.5992106
8,21.27337,0.5992107
9,21.91402,0.5992107
10,22.58215,0.6003734
11,23.25411,0.6003734
12,23.93931,0.6008846
13,24.63846,0.6008884
14,24.31487,0.600902
15,24.96241,0.6009019
16,25.62304,0.6008986
17,26.34883,0.6008986
18,27.03786,0.6008986
19,27.71423,0.6008988
20,28.41169,0.6008988
21,29.09921,0.6008982
22,29.73986,0.6008987
23,30.55672,0.6008981
24,31.29107,0.6008842
25,32.05109,0.6008981
26,32.74021,0.6008842
27,33.4008,0.6008842
28,34.10397,0.6022863
29,34.77228,0.6022863
30,35.43036,0.6022863
31,36.10231,0.6022866
32,36.77108,0.6022866
33,37.44927,0.60229
34,38.10986,0.6022928
35,38.85646,0.6022901
36,39.49348,0.6022943
37,40.15971,0.6022945
38,40.82807,0.602298
39,41.5125,0.6022982
40,42.1375,0.6022985
41,42.79053,0.6023128
42,43.49554,0.6023236
43,44.25004,0.6023586
44,44.98208,0.6023512
45,45.68098,0.6023512
46,46.37847,0.6023515
47,47.03569,0.6023523
48,47.69063,0.6023531
49,48.34691,0.6023648
50,49.01099,0.6023656
51,49.77762,0.6023677
52,50.53762,0.6023676
53,51.22274,0.6023677
54,51.92362,0.6023677
55,52.6624,0.6023674
56,53.3315,0.6023679
57,54.00536,0.6023679
58,54.79819,0.6023691
59,55.46591,0.6023698
60,56.11847,0.6032666
61,56.9155,0.603267
62,57.61301,0.6032668
63,58.28585,0.6032947
64,58.95469,0.6033053
65,59.67783,0.6033052
66,60.33407,0.6033053
67,60.98146,0.6033041
68,61.62848,0.6033041
69,62.2826,0.6033041
70,62.98013,0.6033042
71,63.74815,0.6033114
72,64.41101,0.6033114
73,65.11148,0.6040456
74,65.75221,0.6046664
75,66.42489,0.6046872
76,67.09678,0.6046862
77,67.79723,0.6046873
78,68.49718,0.6046873
79,69.1911,0.6047096
80,69.83173,0.6047071
81,70.60887,0.6047097
82,71.26737,0.6047098
83,71.93927,0.6061576
84,72.75411,0.6061556
85,73.42165,0.6061555
86,74.07238,0.6061556
87,74.76064,0.6061557
88,75.44487,0.6061596
89,76.09979,0.6061596
90,76.78401,0.6061601
91,77.48212,0.6061588
92,78.13096,0.6061566
93,78.76833,0.6061603
94,79.40894,0.6061603
95,80.07198,0.6061602
96,80.71101,0.6061604
97,81.4498,0.6061605
98,82.08775,0.6061605
99,82.76742,0.6061604
100,83.51632,0.6061604
101,84.17339,0.6061277
102,84.84308,0.6061276
103,85.51494,0.6061277
104,86.29327,0.6061275
105,86.96628,0.6061278
106,87.6169,0.6061279
107,88.28366,0.6061288
108,88.94196,0.6061289
109,89.6295,0.6061284
110,90.29277,0.6061286
111,90.95023,0.6061285
112,90.75145,0.6061286
113,91.43015,0.6061408
114,92.06731,0.6061409
115,92.80047,0.6061413
116,93.51677,0.6061414
117,94.17495,0.6061419
118,94.82993,0.6061417
119,95.50945,0.6104505
120,96.162,0.6104507
121,96.8026,0.6104558
122,97.52712,0.6104558
123,98.23635,0.610456
124,99.0532,0.6104561
125,99.75073,0.6104567
126,100.5339,0.6107323
127,101.2035,0.6107331
128,101.9056,0.610732
129,102.6044,0.6107317
130,103.275,0.6107323
131,103.9797,0.6107321
132,104.6465,0.6107326
133,105.291,0.610731
134,106.0041,0.6107315
135,106.6604,0.611642
136,107.3353,0.611642
137,108.1053,0.6116417
138,108.7716,0.611642
139,109.4166,0.6116428
140,110.0728,0.6116466
141,110.7547,0.6116478
142,111.4311,0.6116476
143,112.1186,0.6116484
144,112.8371,0.611099
145,113.5384,0.6110992
146,114.3267,0.6110957
147,115.0455,0.6111006
148,115.8279,0.6111009
149,116.5846,0.6111016
150,117.2655,0.6111015
151,118.0298,0.6111012
152,118.7005,0.611102
153,119.3567,0.6111033
154,120.013,0.6109491
155,120.6736,0.6109492
156,121.3613,0.6109494
157,122.1113,0.6109453
158,122.9154,0.6109458
159,123.6116,0.6109527
160,124.2808,0.6109526
161,124.9346,0.610953
162,125.572,0.6109532
163,126.2982,0.6109526
164,126.9359,0.6109529
165,127.5809,0.6109533
166,128.3583,0.6557096
167,129.2416,0.6557107
168,130.0207,0.6557107
169,130.7522,0.6557116
170,131.5143,0.6557138
171,132.1991,0.655713
172,132.996,0.6557158
173,133.7584,0.6557164
174,134.5239,0.655717
175,135.3528,0.6557168
176,136.1072,0.6557383
177,136.9172,0.655738
178,137.7676,0.6557384
179,138.5764,0.6557394
180,139.385,0.6557395
181,140.1494,0.6557401
182,140.9289,0.6557408
183,141.8167,0.6557416
184,142.589,0.6557437
185,143.3521,0.6557437
186,144.1334,0.6557438
187,144.9166,0.655748
188,144.699,0.6557449
189,145.4857,0.6555547
190,146.2826,0.6555545
191,147.1551,0.6555554
192,148.091,0.6646044
193,148.8996,0.6646082
194,149.8065,0.6724387
195,150.7082,0.6737438
196,151.5661,0.6767268
197,152.5835,0.6767698
198,153.3613,0.6790738
199,154.186,0.6790284
200,155.1306,0.6789341
201,155.8928,0.6785421
202,156.7328,0.6787925
203,157.5158,0.6788651
204,158.3139,0.6789452
205,159.0873,0.6786694
206,159.8693,0.6789348
207,160.7899,0.6791464
208,161.5729,0.6786015
209,162.3648,0.6783692
210,163.1896,0.678764
211,164.0708,0.6790297
212,164.9445,0.6791323
213,165.8375,0.6792162
214,166.5563,0.6791492
215,167.3184,0.6797204
216,168.1282,0.6798048
217,168.9863,0.6805061
218,169.7434,0.6804389
219,170.5197,0.6805451
220,171.4384,0.6815049
221,172.2836,0.6815846
222,173.0748,0.6812943
223,173.888,0.6813203
224,174.6702,0.6808299
225,175.5529,0.6815283
226,176.3356,0.6806549
227,177.1481,0.6817033
228,178.0072,0.6817287
229,178.8766,0.6817547
230,179.7203,0.681438
231,182.9902,0.6822223
232,183.9399,0.6823052
233,184.6742,0.6821266
234,185.5613,0.6822086
