Iteration,Time,AUC
1,11.16243,0.6505862
2,12.89189,0.6505904
3,14.16925,0.6505697
4,15.80284,0.6505716
5,17.18981,0.6614103
6,18.72852,0.6614127
7,20.13543,0.6614119
8,21.58606,0.6630899
9,23.70357,0.6634065
10,25.43225,0.6633976
11,27.339,0.663399
12,27.98252,0.6634001
13,29.50948,0.6633984
14,30.99915,0.6633812
15,32.75657,0.6633842
16,34.61887,0.6637988
17,36.55902,0.6637725
18,38.0659,0.6637716
19,39.6764,0.6637875
20,41.13899,0.6637626
21,42.74327,0.6641034
22,44.61377,0.6723883
23,45.37755,0.6723946
24,47.02619,0.6723975
25,48.60085,0.6737341
26,50.20957,0.6737374
27,51.89122,0.6738514
28,53.73194,0.6745738
29,55.35406,0.6747243
30,57.11594,0.6746841
31,58.82033,0.6746852
32,60.54266,0.6763645
33,61.46351,0.6776249
34,63.32694,0.6783734
35,64.9869,0.678559
36,66.79199,0.6786899
37,68.67687,0.6784048
38,70.66673,0.6785034
39,72.48369,0.6782173
40,74.3147,0.6781878
41,76.04691,0.6782409
42,77.77365,0.6809416
43,79.46742,0.6817741
44,81.23831,0.6817205
45,82.26066,0.6819227
46,84.09317,0.6818694
47,85.91599,0.6818597
48,87.63101,0.6818784
49,89.32095,0.6817917
50,91.21731,0.6818108
51,93.12057,0.6828536
52,95.02154,0.6827444
53,97.03832,0.6825756
54,97.88654,0.6823803
55,100.161,0.6821972
56,102.1919,0.6825874
57,104.0488,0.6825415
58,106.1306,0.6829439
59,108.069,0.6861462
60,110.2652,0.6871565
61,112.3168,0.6871443
62,113.4192,0.6871582
63,115.5569,0.6875091
64,117.674,0.6877913
65,119.6757,0.6878794
66,121.915,0.6878601
67,124.0356,0.687788
68,126.0228,0.6887062
69,128.2406,0.6882856
70,129.4699,0.6882604
71,131.6039,0.6882386
72,133.5533,0.6884525
73,135.5364,0.6885931
74,137.7771,0.6885705
75,140.2763,0.6886107
76,142.4499,0.688611
77,144.6262,0.6886403
78,145.6591,0.6886232
79,147.8434,0.6886203
80,150.0182,0.6885833
81,152.0325,0.6884105
82,154.0536,0.6883938
83,156.1024,0.6883659
84,158.3201,0.6884938
85,159.4424,0.6884568
86,161.5459,0.687899
87,163.8532,0.6881796
88,166.0301,0.68818
89,168.3054,0.6882613
90,170.2839,0.6882439
91,172.6066,0.6882467
92,174.822,0.688407
93,175.8627,0.6883982
94,178.3457,0.6882871
95,180.3092,0.6882772
96,182.5472,0.6881775
97,184.7754,0.6881754
98,186.8214,0.6883023
99,188.9251,0.6887504
100,191.0761,0.6890614
101,193.5843,0.6895707
102,195.1061,0.6897268
103,197.2858,0.6899705
104,199.7208,0.6901187
105,201.7281,0.690202
106,204.0095,0.6903422
107,206.0757,0.6903137
108,207.3521,0.690431
109,209.7709,0.6905504
110,212.0498,0.690644
111,214.4527,0.6906386
112,217.7697,0.6909174
113,218.9513,0.6913041
114,221.2098,0.6913021
115,223.6323,0.6962979
116,225.8148,0.6967106
117,228.2671,0.6965587
118,230.5329,0.6991982
119,232.7461,0.6994245
120,234.2338,0.6996638
121,236.5802,0.6994682
122,238.9327,0.6997727
123,241.319,0.699732
124,243.5914,0.6986271
125,245.8387,0.6989358
126,247.2196,0.6990699
127,249.7807,0.6991833
128,252.2405,0.7000738
129,254.4995,0.7003767
130,256.7537,0.7004956
131,259.3433,0.7012353
132,261.9059,0.7017729
133,264.5803,0.7017439
134,267.1729,0.7019844
135,269.0352,0.7023742
136,271.4913,0.7026072
137,274.1183,0.7027998
138,276.625,0.7028643
139,278.8477,0.7028486
140,281.4196,0.7047813
141,283.0676,0.7051092
142,285.6383,0.7054035
143,288.4238,0.7055287
144,290.9132,0.7057943
145,293.6437,0.7058501
146,296.3568,0.7069729
147,299.2258,0.7077949
148,300.9515,0.7086983
149,303.9176,0.7097724
150,306.8392,0.7117788
151,309.9842,0.7124308
152,311.716,0.7133568
153,314.7066,0.7128357
154,317.4889,0.713256
155,320.3694,0.7138749
156,322.7387,0.714204
157,325.5495,0.7145579
158,328.2964,0.7147645
159,331.1467,0.7147521
160,334.034,0.7150225
161,336.174,0.7152037
162,338.9397,0.7152425
163,341.6705,0.715025
164,344.5693,0.714884
165,347.4419,0.7146234
166,350.6526,0.7146139
167,353.5702,0.7147056
168,355.438,0.7144251
169,358.4087,0.7149692
170,361.1902,0.7148639
171,364.099,0.7145948
172,367.1726,0.7147706
173,369.306,0.7145401
174,372.6101,0.7147347
175,375.6015,0.7153678
176,378.4742,0.7154121
177,381.2351,0.7152749
178,384.2246,0.7151133
179,386.7353,0.7159509
180,390.0531,0.7159778
181,393.0937,0.71682
182,395.9915,0.7169706
183,399.1573,0.7177769
184,401.6323,0.7176956
185,403.8296,0.7176818
186,407.089,0.7179306
187,410.3109,0.7180686
188,413.1011,0.7179692
189,415.3769,0.7182161
190,418.4471,0.7182539
191,421.3556,0.7185164
192,423.9535,0.7186386
193,426.6359,0.7189657
194,428.557,0.7192834
195,431.8782,0.719121
196,434.6452,0.7193163
197,437.4686,0.7191078
198,439.7354,0.7195637
199,442.5697,0.7196725
200,445.3283,0.7199149
201,448.6159,0.7202769
202,451.7782,0.7204519
203,453.7906,0.7204085
204,456.4396,0.7203887
