Iteration,Time,AUC
1,10.31664,0.6081949
2,11.85022,0.6081991
3,12.90024,0.6082028
4,14.07357,0.6082037
5,15.13483,0.6082054
6,16.55649,0.6082051
7,17.77627,0.6082014
8,18.91297,0.6082095
9,19.322,0.6491779
10,20.6526,0.6491771
11,22.1696,0.6491779
12,23.47596,0.6491773
13,24.8497,0.650607
14,26.25785,0.6519409
15,27.60883,0.6527701
16,28.87197,0.663072
17,30.28676,0.6630239
18,31.49526,0.6632631
19,32.00102,0.6632609
20,33.41979,0.6633157
21,34.87134,0.6632621
22,36.15398,0.6632618
23,37.55647,0.66408
24,38.72917,0.663902
25,40.23274,0.6639036
26,41.55995,0.6639011
27,42.9689,0.6639008
28,44.32361,0.6639011
29,45.79064,0.6639035
30,46.93633,0.6639036
31,47.44897,0.663902
32,48.72658,0.6638014
33,50.17583,0.663901
34,51.47668,0.6638023
35,52.92618,0.6713552
36,54.42198,0.6713719
37,55.81194,0.6712719
38,57.3426,0.6713719
39,58.88446,0.6712579
40,60.14321,0.6724006
41,61.65752,0.6726209
42,63.17114,0.6716052
43,64.57369,0.6722472
44,65.03649,0.671325
45,66.42061,0.6722881
46,67.99231,0.6721541
47,69.64305,0.6722749
48,71.06158,0.6721655
49,72.64532,0.6715163
50,74.18028,0.6715089
51,75.838,0.6721726
52,77.23787,0.671399
53,78.83833,0.6714656
54,80.32099,0.672979
55,81.85168,0.6729331
56,82.40342,0.6727495
57,83.91539,0.6727388
58,85.33859,0.6729681
59,86.88303,0.6729615
60,88.20279,0.6752629
61,89.78283,0.6751956
62,91.32598,0.6753373
63,92.94682,0.6752726
64,94.48144,0.6752743
65,96.24411,0.675318
66,97.8784,0.6754757
67,99.63098,0.6796613
68,101.2914,0.6796507
69,102.0515,0.6800411
70,103.8171,0.6800271
71,105.5139,0.6799552
72,107.2725,0.6807877
73,108.926,0.6806808
74,110.4568,0.6806777
75,112.2722,0.6842449
76,114.1028,0.6842387
77,114.7062,0.6842474
78,116.604,0.6850758
79,118.3521,0.6852826
80,119.877,0.6850386
81,121.6965,0.6861626
82,123.321,0.6861503
83,125.6419,0.6871358
84,127.4436,0.6873751
85,128.0823,0.6873574
86,129.7259,0.6872531
87,131.4294,0.6872564
88,133.0694,0.6872084
89,134.6931,0.6872179
90,136.1856,0.687377
91,138.0179,0.6874855
92,139.7617,0.687273
93,141.5762,0.6881075
94,143.236,0.6874376
95,143.9678,0.688144
