Iteration,Time,AUC
1,40.48884,0.7440254
2,49.2961,0.7534376
3,57.43136,0.7617281
4,65.68895,0.7684559
5,74.1621,0.7733536
6,82.02616,0.7787932
7,89.74007,0.782162
8,97.97468,0.7854043
9,104.5699,0.7885008
10,112.3794,0.7905125
11,120.5647,0.7925353
12,128.6047,0.7941802
13,136.0471,0.7955263
14,144.059,0.7968696
15,151.2802,0.7978795
16,158.8654,0.7989775
17,166.9051,0.8002273
18,173.863,0.8010264
19,179.7787,0.8015979
20,186.5764,0.8020649
21,193.3632,0.8025629
22,201.1478,0.8032851
23,208.7982,0.8039605
24,216.1557,0.804699
25,222.7011,0.8052685
26,228.5905,0.8056575
27,234.7456,0.8060361
28,241.8839,0.8065781
29,248.9014,0.8069127
30,255.3117,0.8072243
31,262.684,0.8076296
32,267.3683,0.8078233
33,274.3023,0.8081859
34,281.0929,0.8085679
35,287.2046,0.8088328
36,292.7216,0.8089829
37,300.4806,0.8097332
38,307.7939,0.8100441
39,314.4775,0.8105162
40,320.5683,0.8106791
41,327.2045,0.8109415
42,332.514,0.8110725
43,337.9995,0.8113328
44,344.0087,0.8118769
45,348.9134,0.8119675
46,355.9966,0.8123708
47,363.5547,0.8128743
48,370.1424,0.8131836
49,375.8922,0.8133203
50,383.6683,0.8136421
51,388.3916,0.8137063
52,395.5863,0.81394
53,401.8437,0.8141645
54,407.5109,0.8143362
55,412.5053,0.8145257
56,420.2417,0.8147543
57,424.7603,0.814829
58,430.7169,0.8150446
59,436.6097,0.8151385
60,444.1005,0.8154985
61,451.34,0.8158616
62,458.581,0.8161777
63,464.4036,0.8163631
64,471.3678,0.8165109
65,476.2176,0.8165857
66,483.7925,0.8168631
67,489.9275,0.8169949
68,495.2332,0.8171153
69,502.8976,0.8176236
70,509.6164,0.8177518
71,515.7253,0.8178951
72,521.3282,0.8179834
73,528.4131,0.818241
74,534.6523,0.81835
75,539.7119,0.8183988
76,546.5022,0.8186115
77,551.7863,0.8187506
78,556.6208,0.8188119
79,563.5691,0.8190341
80,570.0343,0.8191618
81,574.5639,0.819187
82,580.7204,0.8193503
83,587.4589,0.8195287
84,593.0898,0.8196609
85,600.6574,0.8200143
86,606.6394,0.820178
87,613.2607,0.8203227
88,620.8746,0.8205063
89,627.4843,0.8206957
90,632.771,0.8207782
91,639.7336,0.8209889
92,645.927,0.8211314
93,650.524,0.8211997
94,656.2202,0.8212773
95,662.2233,0.8213556
96,667.3447,0.8214035
97,673.142,0.8214581
98,678.1975,0.8215861
99,684.6974,0.8216487
100,690.4749,0.8217195
101,695.3515,0.8217661
102,700.6031,0.8218188
103,706.9046,0.8219807
104,713.8478,0.8221346
105,722.1985,0.8223074
106,727.6574,0.8223791
107,732.799,0.8224543
108,737.5361,0.8224908
109,743.6282,0.82261
110,749.3641,0.8226856
111,755.7994,0.8228076
112,760.7619,0.8228336
113,765.0951,0.8228473
114,771.1017,0.8229128
115,777.1536,0.8229771
116,781.3938,0.8230217
117,786.9827,0.8230942
118,793.1798,0.8232367
119,799.3251,0.823335
120,807.1267,0.8234727
121,812.5828,0.8235887
122,821.2166,0.8238073
123,827.7729,0.8239415
124,835.5426,0.8241234
125,844.0039,0.8242417
126,850.1731,0.8243513
127,857.6291,0.8244876
128,863.8887,0.8245816
129,870.8936,0.8247269
130,876.8748,0.8247752
131,882.1884,0.8248433
132,888.8622,0.8249093
133,895.1294,0.8249895
134,901.0848,0.8250579
135,906.0609,0.8250769
136,912.0427,0.8251213
137,918.6678,0.8252314
138,924.2457,0.8252515
139,931.8758,0.8254292
140,939.5453,0.8255859
141,946.4442,0.8256818
142,952.4028,0.8257552
143,958.607,0.8258381
144,964.2157,0.8258694
145,970.5842,0.8259686
146,976.837,0.8260444
147,981.5727,0.8260644
148,987.4127,0.8261433
149,994.128,0.826229
150,999.4555,0.8262705
151,1004.995,0.8263014
152,1009.312,0.8263283
153,1016.48,0.8264601
154,1021.958,0.8264945
155,1026.939,0.8265269
156,1032.485,0.8265859
157,1038.285,0.8266116
158,1046.41,0.8266866
159,1051.629,0.8267193
160,1057.168,0.8267572
161,1061.617,0.8267902
162,1066.624,0.8268056
163,1073.195,0.8269229
164,1080.898,0.8270552
165,1087.789,0.8271907
166,1094.107,0.8272997
167,1102.533,0.8274078
168,1106.976,0.8274298
169,1111.633,0.8274431
170,1116.269,0.8274607
171,1124.475,0.8276048
172,1130.331,0.8276773
173,1136.003,0.8277487
174,1144.24,0.8278918
175,1150.504,0.8279949
176,1156.792,0.8280967
177,1162.982,0.8281625
178,1170.222,0.8282519
179,1177.557,0.8283448
180,1185.084,0.8284676
181,1191.392,0.8285104
182,1198.383,0.8285866
183,1204.801,0.8286879
184,1212.668,0.8288193
185,1218.887,0.8288623
186,1223.617,0.8288798
187,1228.474,0.8289261
188,1233.777,0.8289374
189,1240.501,0.8289956
190,1248.376,0.8291116
191,1253.404,0.8291313
192,1259.287,0.8291568
193,1265.181,0.829232
194,1272.926,0.8293729
195,1280.262,0.829479
196,1285.959,0.8295115
197,1293.892,0.8295891
198,1299.778,0.8296283
199,1305.553,0.8296953
200,1310.591,0.8297251
201,1314.99,0.8297337
202,1319.673,0.8297501
203,1324.172,0.8297654
204,1332.107,0.8298751
205,1335.852,0.8298868
206,1341.796,0.829935
207,1346.294,0.829943
208,1353.091,0.8299919
209,1358.527,0.8300168
210,1364.576,0.8301069
211,1370.925,0.8301382
212,1378.856,0.8302443
213,1386.541,0.8303031
214,1394.439,0.8304089
215,1400.775,0.830462
216,1408.406,0.8305458
217,1414.126,0.8305847
218,1420.284,0.8306519
219,1425.803,0.8306629
220,1431.222,0.8306862
221,1435.534,0.8306944
222,1444.18,0.8308303
223,1449.12,0.8308648
224,1455.861,0.8308957
225,1461.935,0.8309532
226,1466.225,0.8309561
227,1471.17,0.830974
228,1476.812,0.830995
229,1484.581,0.8310582
230,1489.314,0.8310832
231,1494.745,0.8311006
232,1500.911,0.8311493
233,1505.799,0.8311634
234,1510.402,0.8311771
235,1516.883,0.8312995
236,1522.292,0.8313136
237,1526.946,0.8313159
238,1534.022,0.831377
239,1538.766,0.8313902
240,1545.352,0.831423
241,1552.384,0.8314864
242,1559.668,0.8315339
243,1566.176,0.831576
244,1572.204,0.831603
245,1579.467,0.8316827
246,1585.15,0.8317097
247,1590.368,0.8317194
248,1597.927,0.8317868
249,1603.183,0.8318027
250,1608.683,0.8318158
251,1615.478,0.8318688
252,1621.459,0.8318958
253,1626.809,0.8319057
254,1632.043,0.8319071
255,1640.205,0.8320125
256,1646.979,0.8320876
257,1652.965,0.8321166
258,1659.602,0.8321498
259,1666.053,0.8322291
260,1673.36,0.8323062
261,1680.987,0.8323797
262,1686.254,0.8323965
263,1692.589,0.832445
264,1697.188,0.8324524
265,1701.873,0.8324652
266,1709.059,0.832514
267,1716.239,0.8326007
268,1724.238,0.8326614
269,1732.203,0.8327304
270,1738.446,0.8327695
271,1744.633,0.8327997
272,1751.485,0.8328366
273,1755.999,0.8328424
274,1762.842,0.8328834
275,1770.372,0.8329311
276,1775.916,0.8329472
277,1783.269,0.8330353
278,1789.384,0.8331017
279,1794.813,0.8331205
280,1800.152,0.8331373
281,1806.013,0.8331573
282,1811.336,0.8331761
283,1819.028,0.8332397
284,1825.193,0.833267
285,1833.17,0.8333861
286,1840.603,0.8334388
287,1848.558,0.8334935
288,1855.362,0.833543
289,1862.937,0.8336037
290,1871.108,0.8336698
291,1877.367,0.8337134
292,1884.847,0.8337672
293,1892.055,0.83383
294,1899.346,0.833891
295,1905.721,0.8339255
296,1912.019,0.8339417
297,1920.457,0.8340056
298,1924.994,0.8340241
299,1931.535,0.8340785
300,1936.58,0.8340916
301,1941.613,0.8341178
302,1948.808,0.834137
303,1955.274,0.8341652
304,1963.891,0.8342242
305,1968.461,0.834238
306,1976.201,0.8342972
307,1982.287,0.8343496
308,1988.614,0.8343949
309,1994.659,0.834434
310,2000.674,0.8344506
311,2007.812,0.8344937
312,2014.893,0.8345346
313,2022.169,0.8345798
314,2029.617,0.8346371
