Iteration,Time,AUC
1,37.82291,0.7440254
2,42.42695,0.7534376
3,46.52888,0.7617281
4,50.71493,0.7684559
5,55.15711,0.7733536
6,59.40727,0.7787932
7,63.5527,0.782162
8,67.96665,0.7854043
9,72.0301,0.7885008
10,76.12197,0.7905125
11,80.48651,0.7925353
12,83.76512,0.7941802
13,87.68072,0.7955263
14,92.01399,0.7968696
15,95.89046,0.7978795
16,99.86798,0.7989775
17,103.9442,0.8002273
18,107.7979,0.8010264
19,110.9129,0.8015979
20,114.5872,0.8020649
21,118.1375,0.8025629
22,122.4508,0.8032851
23,126.5788,0.8039605
24,130.5221,0.804699
25,134.1362,0.8052685
26,137.47,0.8056575
27,140.8334,0.8060361
28,144.9945,0.8065781
29,147.6656,0.8069127
30,151.1271,0.8072243
31,155.0217,0.8076296
32,157.7601,0.8078233
33,161.6041,0.8081859
34,165.5865,0.8085679
35,168.8981,0.8088328
36,171.9771,0.8089829
37,176.293,0.8097332
38,180.3658,0.8100441
39,183.9115,0.8105162
40,187.1762,0.8106791
41,190.8535,0.8109415
42,194.1061,0.8110725
43,197.3493,0.8113328
44,201.126,0.8118769
45,203.9577,0.8119675
46,206.9315,0.8123708
47,210.9257,0.8128743
48,214.5366,0.8131836
49,217.7135,0.8133203
50,221.8426,0.8136421
51,224.5631,0.8137063
52,228.4798,0.81394
53,232.0456,0.8141645
54,235.3142,0.8143362
55,238.1847,0.8145257
56,242.2954,0.8147543
57,244.9211,0.814829
58,248.4674,0.8150446
59,251.9988,0.8151385
60,256.1465,0.8154985
61,260.2174,0.8158616
62,263.2503,0.8161777
63,266.5546,0.8163631
64,270.6334,0.8165109
65,273.439,0.8165857
66,277.5387,0.8168631
67,280.8511,0.8169949
68,283.903,0.8171153
69,287.9156,0.8176236
70,291.4765,0.8177518
71,294.8035,0.8178951
72,297.936,0.8179834
73,301.9612,0.818241
74,305.2759,0.81835
75,308.0463,0.8183988
76,311.6769,0.8186115
77,313.9345,0.8187506
78,316.6467,0.8188119
79,327.0099,0.8190341
80,330.6704,0.8191618
81,333.2331,0.819187
82,337.1539,0.8193503
83,340.9435,0.8195287
84,343.2626,0.8196609
85,347.3075,0.8200143
86,350.5825,0.820178
87,354.3319,0.8203227
88,358.4154,0.8205063
89,362.0672,0.8206957
90,364.879,0.8207782
91,368.5389,0.8209889
92,371.8887,0.8211314
93,374.5509,0.8211997
94,377.81,0.8212773
95,380.9626,0.8213556
96,383.8238,0.8214035
97,386.9826,0.8214581
98,389.8484,0.8215861
99,393.3865,0.8216487
100,396.6384,0.8217195
101,398.4733,0.8217661
102,401.4049,0.8218188
103,404.7983,0.8219807
104,408.7891,0.8221346
105,413.1504,0.8223074
106,416.251,0.8223791
107,419.1162,0.8224543
108,421.7746,0.8224908
109,425.1932,0.82261
110,428.3452,0.8226856
111,431.7301,0.8228076
112,434.5709,0.8228336
113,437.1866,0.8228473
114,440.4542,0.8229128
115,443.7431,0.8229771
116,446.8488,0.8230217
117,449.9997,0.8230942
118,452.3614,0.8232367
119,455.7547,0.823335
