Iteration,Time,AUC
1,25.09832,0.7782106
2,32.4245,0.7874183
3,40.44071,0.7925693
4,49.24055,0.7967767
5,56.72049,0.8000572
6,65.22127,0.8028452
7,72.16195,0.8053228
8,80.70166,0.8075765
9,87.35348,0.8096905
10,95.1624,0.8117144
11,102.4344,0.8132356
12,109.7349,0.8145203
13,116.6045,0.8157189
14,124.3493,0.8167873
15,129.1045,0.8175416
16,137.2023,0.8186542
17,144.1728,0.8192173
18,149.5625,0.8198239
19,155.3577,0.8205353
20,160.8624,0.8212978
21,168.9641,0.82219
22,175.1445,0.8226154
23,180.9555,0.8232175
24,188.0826,0.8239255
25,194.3306,0.8247284
26,199.353,0.8249381
27,206.3708,0.8255855
28,211.511,0.8258832
29,217.9522,0.8263179
30,222.4351,0.8265419
31,227.7339,0.8267251
32,235.5937,0.827308
33,239.8115,0.8274904
34,245.5468,0.8277025
35,250.4644,0.8280054
36,257.0323,0.8284813
37,262.163,0.8286257
38,266.8546,0.8288363
39,273.1239,0.829156
40,277.668,0.8294311
41,284.0889,0.829661
42,288.9517,0.8298197
43,294.8245,0.8302221
44,301.5872,0.830548
45,308.2914,0.8309879
46,313.9998,0.8311681
47,318.6723,0.8312652
48,325.41,0.8316014
49,330.0744,0.8316979
50,335.9216,0.8319326
51,340.5704,0.8319877
52,343.7481,0.8320582
53,350.1834,0.8322681
54,357.4356,0.8325569
55,361.9337,0.8326795
56,368.8374,0.8328534
57,373.0215,0.8329949
58,380.7093,0.8332777
59,385.0419,0.8334314
60,390.7156,0.8336347
61,394.9982,0.8336642
62,401.2195,0.8338519
63,405.5564,0.8338945
64,411.1112,0.8340226
65,416.9543,0.8342789
66,423.3489,0.8344532
67,427.564,0.834555
68,433.9838,0.8347406
69,442.0031,0.8349699
70,445.8623,0.8350445
71,451.1586,0.8352206
72,456.0578,0.8353316
73,463.8764,0.8355195
74,468.1091,0.8356409
75,474.1376,0.835814
76,478.4728,0.8358802
77,483.5276,0.8359835
78,489.8745,0.8360918
79,496.3543,0.8361904
80,503.4576,0.8365353
81,508.8573,0.8366082
82,512.7706,0.836639
83,516.4698,0.8366717
84,521.9586,0.8367786
85,528.1245,0.8370624
86,535.65,0.8373238
87,541.6964,0.8375298
88,547.8453,0.8376203
89,552.9329,0.8377087
90,555.9586,0.8377428
91,563.4989,0.8379803
92,569.4658,0.8380479
93,574.8864,0.8381568
94,582.3038,0.8383544
95,589.5619,0.8386127
96,593.9173,0.8386493
97,598.0072,0.8386662
98,601.5838,0.838706
99,606.6094,0.8387511
100,611.3209,0.8387882
101,616.1068,0.8388091
102,622.7112,0.8390948
103,630.0508,0.8392024
104,636.9675,0.8394142
105,642.8616,0.8395631
106,649.5328,0.8396921
107,653.1665,0.8397334
108,657.1566,0.8397437
109,661.0158,0.8398088
110,667.7491,0.8400325
111,673.2618,0.840094
112,678.665,0.8401598
113,684.2364,0.8402629
114,691.3087,0.8404577
115,696.053,0.8404921
116,701.6194,0.8406607
117,708.6623,0.8407524
118,712.5113,0.8407835
119,717.7701,0.8408073
120,721.1211,0.8408228
121,728.1024,0.8409431
122,733.1204,0.8409632
123,735.8863,0.8409832
124,741.6569,0.8410328
125,747.5952,0.8411301
126,754.2183,0.8412736
127,759.3474,0.841318
128,766.3003,0.8414497
129,770.786,0.8414696
130,775.4617,0.8415002
131,780.8054,0.8415538
132,787.2325,0.8417038
133,794.7995,0.8418536
134,800.2006,0.8419277
135,805.0854,0.8419603
136,812.1361,0.8420729
137,816.5128,0.8421108
138,823.8629,0.8421813
139,827.8855,0.8421867
140,830.9474,0.8422089
141,838.0922,0.8423029
142,841.7417,0.842307
143,845.1693,0.8423187
144,850.9031,0.8424539
145,857.8408,0.8426049
146,863.6277,0.8427091
147,871.2208,0.842803
148,876.0008,0.8428486
149,883.8782,0.8429702
150,887.9618,0.8429769
151,895.163,0.8431647
152,902.1388,0.8432598
153,906.9451,0.8433114
154,914.813,0.8433876
155,919.7603,0.8434242
156,926.5037,0.84357
157,933.0684,0.8436193
158,937.322,0.8436337
159,941.8811,0.8436688
160,947.1647,0.8437316
161,952.8052,0.8437884
162,959.2771,0.8438367
163,963.9461,0.8438504
164,968.3528,0.8438851
165,974.6307,0.8439255
166,982.1722,0.844004
167,986.0142,0.8440207
168,993.7667,0.8441405
169,998.845,0.8441779
170,1003.948,0.8442011
171,1008.453,0.8442148
172,1014.995,0.8444006
173,1022.134,0.8444856
174,1027.774,0.8445503
175,1033.842,0.8445947
176,1040.558,0.8446472
177,1047.424,0.8447068
178,1052.877,0.8447498
179,1058.715,0.8448426
180,1064.804,0.844876
181,1071.018,0.8449196
182,1077.994,0.8449661
183,1083.666,0.8450207
184,1089.009,0.8450429
185,1094.811,0.8450859
186,1101.194,0.845172
187,1106.569,0.8452057
188,1110.661,0.8452135
189,1115.859,0.8452834
190,1120.711,0.8453118
191,1124.796,0.8453478
192,1132.199,0.8454102
193,1139.99,0.8455102
194,1143.878,0.8455198
195,1151.275,0.8455965
196,1155.542,0.8456252
197,1159.941,0.8456324
198,1165.672,0.8456471
199,1169.8,0.8456695
200,1175.673,0.8456829
201,1181.5,0.8457185
202,1188.819,0.8458072
203,1194.882,0.8458503
204,1198.313,0.8458538
205,1205.032,0.8458829
206,1210.813,0.8459041
207,1215.729,0.8459174
208,1221.003,0.8459567
209,1225.402,0.845997
210,1232.286,0.846032
211,1238.814,0.8460983
212,1242.079,0.8461223
213,1247.788,0.8461419
214,1255.563,0.8462147
215,1259.747,0.8462465
216,1267.928,0.8463827
217,1274.286,0.8464126
218,1279.527,0.8464478
219,1286.242,0.8465086
220,1291.477,0.8465529
221,1297.907,0.8465803
222,1303.076,0.8466145
223,1311.098,0.846672
224,1316.764,0.8467129
225,1322.983,0.8467688
226,1330.45,0.8468618
227,1335.664,0.8468873
228,1342.019,0.8469143
229,1348.081,0.8469669
230,1354.524,0.8470306
231,1361.324,0.8470669
232,1366.03,0.8470774
233,1371.642,0.8470898
234,1377.217,0.8471108
235,1383.167,0.8471777
236,1391.014,0.8472322
237,1396.472,0.8472494
238,1401.023,0.8472681
239,1405.206,0.847266
240,1409.919,0.8472747
241,1415.167,0.8472989
242,1419.794,0.8473045
243,1427.136,0.8473874
244,1432.737,0.8474131
245,1440.183,0.8474907
246,1445.729,0.8475206
247,1452.212,0.8475322
248,1457.241,0.847552
249,1462.171,0.8475642
250,1467.429,0.8475659
251,1470.807,0.8475704
252,1475.544,0.8475786
253,1480.122,0.8475833
254,1483.631,0.8475903
255,1490.465,0.8476059
256,1496.23,0.8476211
257,1503.114,0.8476611
258,1510.038,0.8476713
259,1514.696,0.8476727
260,1520.304,0.847698
261,1527.145,0.8477356
262,1533.693,0.8477719
263,1540.202,0.8478368
264,1547.858,0.8478815
265,1552.591,0.8478927
266,1558.472,0.8479137
267,1564.335,0.8479275
268,1569.87,0.8479743
269,1575.353,0.8479864
270,1582.683,0.8479871
271,1586.834,0.847984
272,1590.992,0.8479856
273,1597.159,0.8479989
274,1602.116,0.8480054
275,1609.889,0.8480704
276,1615.422,0.8480966
277,1620.511,0.8481154
278,1624.986,0.8481129
279,1630.185,0.8481227
280,1634.599,0.8481181
281,1641.128,0.8481472
282,1647.82,0.8481978
283,1652.489,0.8481947
284,1658.178,0.8482172
285,1663.378,0.8482368
286,1667.671,0.8482584
287,1675.331,0.8482827
288,1678.147,0.8482812
289,1685.444,0.8483076
290,1691.058,0.8483192
291,1695.902,0.8483514
292,1702.416,0.8483728
293,1708.616,0.848393
294,1712.266,0.8483956
295,1717.515,0.8484057
296,1722.763,0.8484097
297,1728.015,0.8484429
298,1734.335,0.8484698
299,1741.184,0.8484892
300,1745.658,0.8485037
301,1752.357,0.848523
302,1758.802,0.8485685
303,1764.169,0.8485912
304,1770.91,0.8486301
305,1775.769,0.8486504
306,1781.3,0.8486646
307,1786.088,0.8486737
308,1792.812,0.8487083
309,1799.501,0.8487236
310,1805.724,0.8487527
311,1812.397,0.8487815
312,1819.735,0.8488091
313,1825.584,0.8488303
314,1832.841,0.8488748
315,1838.699,0.8488836
316,1842.371,0.8488857
317,1848.748,0.8489019
318,1853.984,0.8489477
319,1858.802,0.8489602
320,1864.736,0.8489798
321,1871.057,0.8490081
322,1876.296,0.8490113
323,1879.83,0.8490145
324,1885.019,0.8490202
325,1889.398,0.8490191
326,1893.951,0.8490209
327,1898.796,0.8490324
328,1903.126,0.8490347
329,1906.662,0.8490396
330,1911.387,0.8490422
331,1917.707,0.8490489
332,1923.283,0.8490591
333,1930.413,0.8491012
334,1935.216,0.8491088
335,1942.963,0.8491567
336,1947.79,0.8491645
337,1954.385,0.8492091
338,1960.712,0.8492349
339,1966.173,0.8492578
340,1972.411,0.8492782
341,1978.954,0.8492932
342,1984.984,0.8493246
343,1990.568,0.8493366
344,1996.018,0.849356
345,2002.034,0.8493711
346,2007.814,0.8493896
347,2013.098,0.849402
348,2020.536,0.8494502
349,2026.153,0.8494643
350,2032.675,0.8494905
351,2037.56,0.8494984
352,2043.592,0.8495292
353,2049.674,0.849549
354,2055.234,0.8495521
355,2059.66,0.8495579
356,2063.756,0.8495607
357,2068.93,0.8495726
358,2072.562,0.8495722
359,2078.082,0.8495818
360,2081.991,0.8495824
361,2088.255,0.849595
362,2095.711,0.8496231
363,2101.425,0.849643
364,2107.108,0.8496453
365,2113.82,0.8496661
366,2119.139,0.8496912
367,2124.041,0.8496919
368,2128.833,0.8496911
369,2135.44,0.8497147
370,2140.176,0.8497157
371,2144.469,0.8497214
372,2150.152,0.8497263
373,2155.112,0.849734
374,2161.691,0.8497682
375,2167.791,0.8497806
376,2173.82,0.8498013
377,2180.481,0.849825
378,2187.806,0.8498663
379,2192.539,0.8498799
380,2199.294,0.8499038
381,2206.733,0.8499278
382,2211.606,0.8499401
383,2217.924,0.8499579
384,2222.066,0.8499771
385,2227.941,0.8499831
386,2233.471,0.8499912
387,2238.82,0.8500056
388,2244.896,0.8500367
389,2250.52,0.8500471
390,2256.066,0.8500596
391,2261.008,0.8500633
392,2263.855,0.8500622
393,2271.336,0.850075
394,2277.654,0.8500939
395,2286.371,0.8501037
396,2292.314,0.8501149
397,2299.798,0.8501279
398,2305.006,0.850144
399,2309.061,0.8501468
400,2314.754,0.8501545
401,2317.605,0.8501494
402,2323.541,0.8501531
403,2327.968,0.8501561
404,2333.415,0.8501656
405,2339.8,0.85017
406,2345.682,0.8501718
407,2351.303,0.8501818
408,2356.186,0.8501973
409,2362.917,0.8502328
410,2367.77,0.8502362
411,2374.126,0.8502509
412,2378.691,0.8502579
413,2391.929,0.8502665
414,2395.067,0.8502647
415,2400.038,0.8502763
416,2403.874,0.8502757
417,2407.855,0.8502778
418,2412.266,0.8502753
419,2418.147,0.850281
420,2422.218,0.8502844
421,2426.691,0.8502843
422,2433.892,0.8502902
423,2437.396,0.8502891
424,2443.677,0.8502989
425,2449.81,0.8503112
426,2454.538,0.8503148
427,2461.015,0.8503142
428,2465.909,0.8503099
429,2470.978,0.8503165
430,2476.657,0.8503178
431,2483.059,0.8503416
432,2490.112,0.8503742
433,2496.41,0.8503934
434,2501.152,0.8503924
435,2507.915,0.8504143
436,2514.085,0.8504345
437,2521.903,0.8504839
438,2527.037,0.8505161
439,2533.057,0.8505312
440,2538.463,0.8505391
441,2542.614,0.8505399
442,2548.764,0.8505499
443,2554.549,0.8505726
444,2562.429,0.8505727
445,2567.857,0.8505832
446,2573.295,0.8505919
447,2580.261,0.850603
448,2584.065,0.8506159
449,2589.595,0.8506226
450,2594.001,0.8506335
451,2600.297,0.8506283
452,2607.375,0.8506497
453,2611.261,0.8506514
454,2616.031,0.8506508
455,2621.24,0.8506583
456,2627.044,0.8506667
457,2631.14,0.8506671
458,2635.688,0.8506705
459,2640.546,0.8506823
460,2645.951,0.8506833
461,2649.886,0.8506834
462,2654.516,0.8506861
463,2661.288,0.8506863
464,2665.189,0.8506946
465,2671.558,0.8506901
466,2675.324,0.850702
467,2681.141,0.8506956
468,2687.735,0.8507204
469,2693.484,0.8507386
470,2698.776,0.8507396
471,2703.68,0.8507696
472,2708.009,0.8507719
473,2714.053,0.8507722
474,2719.227,0.8507742
475,2722.44,0.8507728
476,2729.507,0.8507759
477,2736.364,0.8507963
478,2739.847,0.8507963
479,2744.969,0.8508059
480,2750.542,0.8508098
481,2756.375,0.850822
482,2761.511,0.850825
483,2768.101,0.850855
484,2773.582,0.8508529
485,2780.194,0.850874
486,2785.524,0.8508773
487,2790.958,0.8508783
488,2797.711,0.850888
489,2801.606,0.8508893
490,2807.16,0.8508897
491,2813.108,0.8509082
492,2818.915,0.8509168
493,2825.072,0.8509379
494,2829.694,0.8509459
495,2835.526,0.8509605
496,2841.085,0.8509618
497,2845.49,0.8509678
498,2850.117,0.8509667
499,2855.526,0.8509719
500,2860.21,0.8509809
