Iteration,Time,AUC
1,9.340761,0.6037687
2,10.18326,0.6090561
3,10.81073,0.6091168
4,11.39724,0.6090515
5,11.9741,0.6090557
6,12.65903,0.609993
7,13.24467,0.6106288
8,13.89638,0.6106333
9,14.51856,0.6106136
10,15.17598,0.6106163
11,15.69785,0.6106203
12,16.45413,0.6114023
13,17.06027,0.6114061
14,17.60714,0.6114059
15,18.27476,0.6114057
16,18.83479,0.6114094
17,19.49084,0.61141
18,20.06555,0.6114066
19,19.67241,0.6114109
20,20.22057,0.6114095
21,20.87119,0.6114108
22,21.57308,0.6114149
23,22.19838,0.6114149
24,23.07724,0.6114155
25,23.72291,0.6118704
26,24.42195,0.6118687
27,25.0453,0.6529822
28,25.78592,0.6529847
29,26.56158,0.6530627
30,27.3067,0.6642207
31,27.99925,0.663983
32,28.57365,0.6658352
33,29.34503,0.6689534
34,29.98887,0.6705216
35,30.76496,0.6726616
36,31.52425,0.6725471
37,32.21727,0.678293
38,31.93957,0.6782959
39,32.66601,0.6782904
40,33.54177,0.6782085
41,34.26796,0.678233
42,34.93874,0.679113
43,35.58542,0.6794038
44,36.4223,0.6808415
45,37.21823,0.680203
46,37.98694,0.6803192
47,38.77131,0.6825101
48,39.54644,0.6824215
49,40.20778,0.6821316
50,40.8996,0.68063
51,41.63906,0.6806256
52,42.37975,0.6817662
53,43.13881,0.6816716
54,43.84381,0.6815541
55,44.55384,0.6816702
56,44.32624,0.681673
57,44.94999,0.6815005
58,45.72079,0.6822375
59,46.46306,0.6822299
60,47.11957,0.6822975
61,47.94242,0.6822616
62,48.67968,0.6814631
63,49.41282,0.6822422
64,50.16715,0.6835313
65,51.01739,0.6836497
66,51.79735,0.684046
67,52.55347,0.6840852
68,53.28236,0.6843191
69,54.04697,0.6842581
70,54.83732,0.683987
71,55.63689,0.6848814
72,56.41745,0.6845367
73,57.1784,0.6852918
74,57.81765,0.6862509
75,58.72703,0.6862227
76,59.46453,0.6863193
77,59.15516,0.6870631
78,59.9968,0.6872695
79,60.81776,0.6871461
80,61.54528,0.6876291
81,62.23998,0.6878736
82,63.06395,0.6863319
83,63.75894,0.6862809
84,64.56908,0.688114
85,65.37377,0.6887356
86,66.23391,0.6887597
87,66.9777,0.6886463
88,67.71966,0.6885485
89,68.51506,0.6887485
90,69.28645,0.6885796
91,70.01377,0.6884691
92,70.76844,0.6891542
93,71.47261,0.6888768
94,72.19527,0.6880679
95,73.10096,0.6881721
96,73.88089,0.6874094
97,74.66533,0.6884956
98,75.56902,0.6886167
99,76.31777,0.6882605
100,77.06855,0.6881476
101,77.83292,0.6883757
102,77.63293,0.6881287
103,78.49293,0.6921519
104,79.32643,0.6927285
105,80.24751,0.6938505
106,80.98133,0.6940972
107,81.84078,0.6935264
108,82.63638,0.6945183
109,83.53957,0.6942742
110,84.32871,0.6936977
111,85.13229,0.6940465
112,85.99216,0.6947204
113,86.8427,0.6948153
114,87.60601,0.6952829
115,88.36261,0.6952125
116,89.20758,0.6952728
117,89.16476,0.6951983
118,89.91101,0.6957265
119,90.67273,0.6965312
120,91.5663,0.6966506
121,92.37739,0.6969534
122,93.05059,0.6976642
123,93.72203,0.6978835
124,94.64711,0.6989335
125,95.41302,0.6991021
126,96.15551,0.6990498
127,96.90136,0.6988536
128,97.71625,0.6998085
129,98.44068,0.6995203
130,99.17081,0.6993389
131,100.0927,0.7007354
132,100.7945,0.7005865
133,101.4942,0.7002691
134,102.2558,0.6999377
135,102.9577,0.6998174
136,103.7794,0.7004176
137,104.6592,0.7001928
138,105.4149,0.6999933
139,105.218,0.699891
140,106.2119,0.7001049
141,106.8637,0.7005768
142,107.5884,0.7027997
143,108.2543,0.7029304
144,109.0004,0.7029699
145,109.8393,0.7029406
146,110.6081,0.7022511
147,111.3915,0.7030028
148,112.0152,0.7037265
149,112.8452,0.7038123
150,113.648,0.7036632
151,114.4536,0.7042139
152,115.1746,0.7040688
