Iteration,Time,AUC
1,7.398816,0.608196
2,9.258179,0.608197
3,10.87442,0.6082021
4,12.47455,0.6081998
5,13.18536,0.649164
6,15.00685,0.6505955
7,16.93622,0.6505973
8,18.58513,0.6505963
9,19.48248,0.661432
10,21.3739,0.6614352
11,23.28047,0.6614138
12,25.02514,0.66173
13,26.95476,0.6634153
14,27.92551,0.6634037
15,29.83781,0.6638254
16,31.68397,0.6638118
17,33.76874,0.6638002
18,34.59799,0.6637884
19,36.49947,0.6637854
20,38.60583,0.6637823
21,40.59198,0.6637818
22,41.65563,0.6637835
23,43.71034,0.66384
24,45.60291,0.6637836
25,46.63585,0.6637848
26,48.61287,0.6641298
27,50.44166,0.6641299
28,52.35163,0.6641315
29,53.36333,0.6641308
30,55.27869,0.6658748
31,57.29221,0.6658864
32,59.51129,0.6658858
33,60.62769,0.669321
34,62.66685,0.6703837
35,64.61586,0.6703842
36,66.57748,0.6703811
37,67.52567,0.6724475
38,69.91639,0.672452
39,71.84609,0.6724516
40,73.9245,0.6724493
41,74.92927,0.672555
42,76.87914,0.6726011
43,79.54354,0.6730196
44,80.98931,0.6730452
45,83.29297,0.6747353
46,85.68438,0.6745837
47,86.81425,0.6746956
48,88.94781,0.6744478
49,91.16976,0.6746462
50,93.51121,0.6744964
51,94.90125,0.6759161
52,97.16849,0.675714
53,99.2019,0.6756801
54,100.629,0.6767635
55,102.9045,0.6811087
56,105.4314,0.6809143
57,107.583,0.6801712
58,108.9722,0.6802158
59,111.3951,0.6801436
60,113.8758,0.6801762
61,115.4082,0.6801735
62,117.883,0.6801895
63,120.374,0.6809577
64,121.7882,0.6810641
65,124.1432,0.6809835
66,125.7547,0.6809214
67,128.2407,0.6808889
68,130.7755,0.6837998
69,133.2373,0.6855865
70,135.0846,0.6862316
71,137.6265,0.6862008
72,140.1,0.6861556
73,141.8592,0.6861618
74,144.544,0.6859468
75,146.1788,0.6871639
76,148.6434,0.6871984
77,151.2439,0.6871763
78,153.0016,0.6872319
79,155.5489,0.687242
80,157.0121,0.6872417
81,159.3321,0.6872731
82,161.7908,0.6875494
83,164.6548,0.6875158
84,166.4055,0.6875304
85,168.9798,0.6877678
86,170.6998,0.6877612
87,173.3625,0.6879274
88,176.0596,0.6878873
89,177.4388,0.6879941
90,180.1489,0.6874693
91,181.7153,0.6874429
92,184.1924,0.68834
93,186.845,0.688285
94,188.5321,0.6882856
95,191.4868,0.6882961
96,194.2131,0.6882725
97,195.5826,0.6883825
98,198.3657,0.6883464
99,201.1857,0.6891342
100,203.0854,0.6891569
101,205.9912,0.689193
102,208.6899,0.6897573
103,210.421,0.6895111
104,213.1931,0.6897457
105,215.874,0.6895413
106,217.6966,0.6895075
107,220.322,0.6896817
108,222.2718,0.6898111
109,224.9106,0.6897308
110,227.7074,0.6900477
111,229.687,0.6902887
112,232.4769,0.6914862
113,235.3146,0.6917578
114,238.3526,0.6916192
115,240.2741,0.6919846
116,243.5727,0.6918029
117,245.5348,0.691824
118,248.3538,0.6917975
119,250.2356,0.6919289
120,253.3543,0.6925947
121,256.0201,0.6927082
122,258.1829,0.6944186
123,260.3349,0.69444
124,263.285,0.6949051
125,265.4953,0.6949056
126,268.1968,0.6949234
127,270.1525,0.6948692
128,272.8729,0.7000415
129,275.4402,0.7000764
130,277.5574,0.7004455
131,280.2026,0.7002536
132,282.9488,0.7004533
133,285.2172,0.7008672
134,288.3462,0.701095
135,290.3244,0.701243
136,293.3594,0.7015268
137,295.6211,0.7016966
138,298.6624,0.7041081
139,301.0282,0.7050257
140,304.282,0.7052979
141,306.2996,0.7053058
142,309.9885,0.7055202
143,312.4855,0.7054938
144,316.0022,0.7050395
145,318.3293,0.7051105
146,321.5443,0.7051485
147,324.1125,0.7052587
148,327.5669,0.706346
149,330.1745,0.7063157
150,333.5698,0.7058853
151,336.2122,0.7067644
152,339.5591,0.7066113
153,342.2009,0.7067294
154,345.7614,0.7066862
155,348.1831,0.7071681
156,351.7692,0.7080767
157,354.2309,0.7085281
158,357.7525,0.7086377
159,361.5994,0.7098757
160,364.2375,0.7100552
161,367.6634,0.71136
162,370.4064,0.7113523
163,374.042,0.711361
164,377.0853,0.7120591
165,380.8191,0.7120223
166,383.3868,0.7125257
167,386.812,0.7122511
168,389.2551,0.712366
169,393.0657,0.7129795
170,395.5779,0.7128804
171,398.8214,0.7132976
172,401.6664,0.7142544
173,405.6658,0.7144679
174,408.2629,0.7147287
175,411.9559,0.7150472
176,414.1484,0.7149832
177,417.8729,0.7151455
178,420.4787,0.7154002
179,424.4997,0.7156783
180,427.296,0.7155375
181,430.6993,0.7155596
182,434.8836,0.7157622
183,437.6484,0.7165036
184,441.2092,0.7166467
185,444.1015,0.7168289
186,447.6759,0.717653
187,450.6789,0.7178671
188,454.3298,0.7179793
189,456.961,0.7179931
190,460.7859,0.7185277
191,463.6768,0.71807
192,467.4486,0.7181883
193,469.6209,0.7182587
194,473.026,0.7184596
195,476.431,0.7183182
196,479.03,0.7188718
197,482.632,0.7188182
198,485.5367,0.7185917
199,488.8057,0.7190764
200,491.6691,0.7192595
201,494.3806,0.7193995
202,498.0862,0.71924
203,500.8137,0.7192695
204,504.4336,0.7188728
205,506.9848,0.718555
206,510.3355,0.7184533
207,513.2411,0.7182575
208,516.8794,0.7180325
209,519.3839,0.7178963
210,522.1342,0.7177515
211,526.2156,0.717685
212,528.5335,0.71774
213,532.2598,0.7173476
214,535.0847,0.7169846
215,538.7902,0.7170515
216,541.2831,0.7170217
217,544.8043,0.7172329
218,547.7617,0.7173949
219,550.2534,0.7172055
220,553.7678,0.7171964
221,556.4572,0.7172687
222,560.1507,0.7179797
223,562.7634,0.7181525
224,566.3273,0.7180072
225,569.3486,0.7178397
226,573.1371,0.7180952
227,575.6323,0.7180722
228,579.0324,0.7182663
229,581.5651,0.7184975
230,585.4941,0.7185312
231,587.8808,0.7188689
232,591.523,0.7193717
233,594.1945,0.7194604
234,597.1502,0.7204124
235,600.7889,0.7205035
236,603.5168,0.7204603
237,606.9464,0.7203984
238,609.649,0.7203835
239,613.5783,0.7201614
240,615.9875,0.7201055
241,619.8286,0.720006
242,622.5234,0.7196608
243,625.7457,0.7196737
244,628.2953,0.7195747
245,631.9894,0.7194631
246,634.6096,0.7194667
247,637.7359,0.71916
248,640.6982,0.7193613
249,644.575,0.7193836
250,647.2317,0.7196658
251,650.709,0.7198292
252,653.1877,0.7200032
253,656.4814,0.719957
254,658.6893,0.7197201
255,662.4752,0.7196688
256,665.1043,0.7196992
257,668.9207,0.7195332
258,671.2464,0.7195884
259,673.6363,0.7194675
260,677.6081,0.719456
261,680.1834,0.7196136
262,683.9803,0.7197361
263,686.5112,0.7204071
264,690.0123,0.7204449
265,692.4447,0.7201246
266,696.4867,0.7199695
267,698.7734,0.7203236
268,702.002,0.7205504
269,704.3818,0.7207102
270,707.438,0.7206687
271,709.9798,0.7209861
272,713.0744,0.7210261
273,716.3791,0.7209937
274,718.454,0.7212801
275,721.4905,0.7214574
276,724.0623,0.7215061
277,727.4124,0.7214547
278,730.0589,0.7211708
279,733.0056,0.7215401
280,735.1344,0.721769
281,738.1938,0.7217834
282,740.4268,0.7217527
283,744.0274,0.7217475
284,746.2906,0.7217403
285,750.1319,0.7219659
286,751.9613,0.7218242
287,754.6103,0.7217109
288,757.2742,0.7215372
289,758.737,0.7214601
290,761.4956,0.7213448
291,764.5081,0.7214636
292,767.2087,0.7215608
293,770.2784,0.7212659
294,773.4467,0.7211847
295,775.675,0.7212599
296,779.5285,0.7213398
297,782.1293,0.721479
298,785.4777,0.7216562
299,787.3885,0.7217172
300,790.4969,0.7216981
301,793.5636,0.7219464
302,795.7807,0.7221322
303,799.1876,0.7222344
304,801.2635,0.7224165
305,804.4623,0.7224613
306,806.2885,0.7226707
307,809.9186,0.7227733
308,811.9588,0.7228884
309,814.8332,0.7227372
310,817.433,0.7226316
311,819.2864,0.7223521
312,822.2343,0.722546
313,824.2394,0.7225558
314,827.8384,0.7226887
315,829.3955,0.7225707
316,832.6722,0.7225442
317,834.7585,0.7224378
318,837.5173,0.7225626
319,840.0443,0.7226581
320,841.8989,0.7226585
321,844.6599,0.722364
322,846.1643,0.7223989
323,849.3946,0.7225342
324,851.6342,0.7225335
325,852.8284,0.7224572
326,855.9247,0.722427
327,858.3894,0.7225077
328,860.6969,0.7223442
329,863.1382,0.7224758
330,865.4819,0.7224916
331,866.8888,0.7224644
332,869.2006,0.7223207
333,871.2224,0.7224122
334,872.4957,0.7225241
335,874.5102,0.7225093
336,876.796,0.7224082
337,877.4833,0.7223588
338,879.0704,0.7222426
339,881.0656,0.7220921
340,882.8102,0.7222231
341,884.3199,0.722147
342,886.3538,0.7224771
343,888.242,0.7222815
344,890.1877,0.7222005
345,892.4571,0.7222432
346,894.4025,0.7222543
347,896.0991,0.7222915
348,897.3208,0.722042
349,899.1983,0.7220677
350,901.1154,0.7220754
351,902.9623,0.7221145
352,903.9415,0.7223734
353,905.9401,0.7225635
354,908.2978,0.7226149
355,910.2383,0.7226393
356,911.0951,0.7226013
357,913.2063,0.7225256
358,915.3368,0.7225295
359,916.9307,0.7223559
360,918.7602,0.7222356
361,920.976,0.7223501
362,922.1571,0.7223176
363,923.6221,0.7222309
364,925.234,0.7221954
365,927.3546,0.7222095
366,928.1274,0.7222383
367,929.8709,0.7222308
368,931.3413,0.7220961
369,933.1783,0.722227
370,934.8906,0.7221798
371,935.4871,0.7221915
372,937.6864,0.7222356
373,939.0322,0.7222948
374,940.1734,0.7221967
375,941.9098,0.7221019
376,943.3949,0.7220569
377,945.4147,0.7221906
378,947.8193,0.7221069
379,949.2675,0.7222376
380,950.8238,0.7222849
381,952.3744,0.7221642
382,954.2175,0.72249
383,955.0926,0.7225104
384,956.8633,0.7224405
385,958.6871,0.7223378
386,960.4861,0.7223461
387,961.7392,0.7223029
388,962.4253,0.722288
389,964.0555,0.7222942
390,965.8856,0.7223801
391,967.8173,0.7224492
392,968.9399,0.722457
393,970.6094,0.7224382
394,972.6647,0.7222858
395,974.5151,0.7221717
396,975.4338,0.7221346
397,977.4735,0.7220927
398,978.9707,0.7220375
399,980.8423,0.7220291
400,981.3786,0.7220102
