Iteration,Time,AUC
1,5.401835,0.5996424
2,6.353725,0.6008147
3,6.983079,0.6022585
4,7.729334,0.602341
5,8.311852,0.6023454
6,8.889998,0.602348
7,9.454336,0.6023479
8,10.18619,0.6066675
9,10.74871,0.6066846
10,10.35557,0.6066842
11,10.97683,0.6067102
12,11.58806,0.6067102
13,12.23621,0.6067118
14,12.93436,0.606716
15,13.68627,0.6067167
16,14.32995,0.6067407
17,14.94813,0.606723
18,15.57058,0.6067461
19,16.35807,0.6067396
20,17.04189,0.6067594
21,17.81373,0.6067516
22,18.50872,0.6067412
23,18.19936,0.6067408
24,18.76626,0.60674
25,19.40437,0.606742
26,19.96118,0.6067401
27,20.62055,0.6067414
28,21.3256,0.6081546
29,21.91938,0.6081554
30,22.63562,0.6081719
31,23.21246,0.6081545
32,23.7481,0.6081733
33,24.38498,0.6081772
34,24.97752,0.6081772
35,25.65808,0.608176
36,26.35187,0.6081761
37,27.04689,0.6081823
38,27.60375,0.6081836
39,28.23062,0.6081822
40,28.88876,0.6081832
41,29.49687,0.6081805
42,30.06377,0.6081826
43,30.74874,0.6081827
44,31.32684,0.608184
45,31.86811,0.6081896
46,31.49626,0.6081907
47,32.10439,0.6082048
48,32.78064,0.608205
49,33.37308,0.6082052
50,34.03934,0.6082062
51,34.65746,0.6082068
52,35.28996,0.6082069
53,35.90684,0.6082068
54,36.51495,0.6082069
55,37.12621,0.6100768
56,37.71871,0.610076
57,38.40497,0.6100754
58,39.07873,0.6100757
59,39.66562,0.6100753
60,40.38322,0.6100767
61,40.96994,0.6100769
62,41.67061,0.6100768
63,42.24308,0.6100769
64,42.93246,0.6100776
65,43.5406,0.610077
66,44.13746,0.6100896
67,44.79561,0.6100894
68,44.49499,0.61009
69,45.24374,0.6100899
70,45.87621,0.6100894
71,46.47876,0.6100907
72,47.07557,0.6100913
73,47.7194,0.6100919
74,48.35313,0.6100927
75,48.96119,0.6100916
76,49.71432,0.6100594
77,50.28122,0.6100581
78,50.97061,0.6100592
79,51.52746,0.610059
80,52.16562,0.610059
81,52.75808,0.6108117
82,53.37058,0.6108158
83,53.93745,0.6114543
84,54.53996,0.6114558
85,55.09115,0.611456
86,55.72935,0.611455
87,56.36997,0.6114564
88,56.96252,0.611455
89,57.61745,0.6114498
90,58.26562,0.6114502
91,58.89933,0.6114565
92,58.67995,0.6114507
93,59.27808,0.6114509
94,59.93183,0.6114576
95,60.54871,0.6114615
96,61.24375,0.6114617
97,61.85617,0.611468
98,62.43871,0.6114675
99,63.04682,0.6114676
100,63.63374,0.6114672
101,64.34432,0.6114672
102,64.98124,0.6114679
103,65.63624,0.6114679
104,66.27559,0.6114677
105,66.91938,0.6114584
106,67.54309,0.6114583
107,68.1212,0.6114584
108,68.67249,0.6114582
109,69.32059,0.6114583
110,69.98305,0.6114593
111,70.55996,0.6114587
112,70.20373,0.6528416
113,70.8362,0.652841
114,71.53121,0.6528411
115,72.2119,0.6528343
116,72.93249,0.6525512
117,73.57625,0.6525491
118,74.30941,0.6525496
119,74.90748,0.6525499
120,75.5712,0.6525501
121,76.21491,0.6525494
122,76.85999,0.6525491
123,77.51627,0.6525498
124,78.10432,0.6529459
125,78.66994,0.6530044
126,79.46432,0.6530034
127,80.13932,0.6530033
128,80.83999,0.6543088
129,81.54749,0.6542806
130,82.16686,0.6542532
131,82.98562,0.6542548
132,83.61937,0.6636704
133,83.36127,0.6636728
134,83.98499,0.6636723
135,84.51624,0.6636844
136,85.13434,0.6636799
137,85.74808,0.6636897
138,86.38308,0.6636954
139,86.99246,0.6636955
140,87.70311,0.6636958
141,88.405,0.6636846
142,89.10996,0.6636876
143,89.82189,0.6636862
144,90.48121,0.6639822
145,91.22874,0.6639788
146,91.88375,0.6639789
147,92.56311,0.6639918
148,93.2137,0.6638182
149,93.85872,0.663792
150,94.50807,0.6637795
151,95.17185,0.6635525
152,95.96752,0.6635513
153,96.59124,0.6634338
154,97.20066,0.6634412
155,97.87434,0.6634603
156,98.49371,0.6637119
157,99.27936,0.6719732
158,99.96304,0.671972
159,100.7162,0.6723264
160,100.4114,0.6740853
161,101.0875,0.6722815
162,101.8562,0.6721944
163,102.4856,0.6717712
164,103.1818,0.6761376
165,103.9694,0.6768036
166,104.61,0.6793478
167,105.2493,0.6795068
168,105.92,0.6790231
169,106.6106,0.6818399
170,107.5319,0.6821995
171,108.2637,0.6822235
172,109.1237,0.6824651
173,109.8556,0.6836336
174,110.5306,0.6850763
175,111.2812,0.6836138
176,111.0119,0.6835853
177,111.7437,0.6850851
178,112.47,0.6856818
179,113.2031,0.6857188
180,114.025,0.6855598
181,114.67,0.6857587
182,115.3362,0.6860365
183,116.1237,0.6864272
184,116.8681,0.6875594
185,117.6044,0.6878481
186,118.3731,0.6878684
187,119.055,0.6879847
188,119.7,0.6882515
189,120.4306,0.688376
190,121.1056,0.68963
191,121.7662,0.6895149
192,122.4156,0.6895102
193,123.0437,0.6887213
194,123.7969,0.689637
195,124.5456,0.6896718
196,124.3131,0.6897394
197,124.9481,0.6941606
198,125.6187,0.6941359
199,126.3863,0.6942428
200,127.1037,0.6942547
201,127.955,0.694374
202,128.7182,0.6943883
203,129.3843,0.6944395
204,129.9981,0.6944614
205,130.6643,0.6955679
206,131.4019,0.695682
207,132.1081,0.6957053
208,132.8243,0.6958516
209,133.6344,0.6958642
210,134.3362,0.6958982
211,135.0111,0.6958866
212,135.6506,0.6969956
213,136.3725,0.6971188
214,137.1425,0.6969965
215,137.853,0.6969668
216,138.6219,0.6979949
217,139.3525,0.6975269
218,140.0444,0.6976472
219,139.735,0.6982947
220,140.4969,0.6983056
221,141.1988,0.6978544
222,141.8881,0.6977008
223,142.6869,0.698125
224,143.3362,0.6981496
225,144.0156,0.6980329
226,144.7744,0.6982624
227,145.4706,0.6981368
228,146.1737,0.6981454
229,146.86,0.6981656
230,147.6218,0.7030829
231,148.3081,0.7028069
232,149.0243,0.7019726
233,149.7494,0.702155
234,150.3831,0.7020048
235,151.0706,0.7017468
236,151.8425,0.7019215
237,151.5175,0.701796
238,152.1882,0.7012842
239,152.8862,0.7013504
240,153.7175,0.7015531
241,154.4193,0.7013533
242,155.1724,0.7011271
243,155.9031,0.7024438
244,156.6256,0.7024721
245,157.4062,0.7014799
246,158.0925,0.7012564
247,158.8231,0.7013654
248,159.575,0.7021296
249,160.2031,0.7020579
250,159.9588,0.7022667
251,160.5731,0.7021108
252,161.3238,0.7017582
253,162.1037,0.7021033
254,162.84,0.701765
255,163.6556,0.7015212
256,164.3875,0.7016148
257,165.0581,0.7018972
258,165.7287,0.70188
259,166.3894,0.7007912
260,167.0487,0.700866
261,167.6881,0.7019481
262,168.4225,0.7010642
263,169.1075,0.7010614
264,169.8137,0.7013173
265,170.6068,0.7029799
266,171.2462,0.7020068
267,172.0106,0.7021523
268,172.8237,0.7021402
269,173.5,0.7022395
270,174.2318,0.7023889
271,173.9681,0.7022294
272,174.6087,0.7021553
273,175.2437,0.7021083
274,176.0124,0.7023665
275,176.6731,0.7020479
276,177.4237,0.7021125
277,178.2012,0.7022817
278,178.9675,0.7021423
279,179.6025,0.7017455
280,180.3712,0.7020793
281,181.1487,0.7026957
282,181.845,0.7024521
283,182.6581,0.7022557
284,183.4069,0.7020012
285,184.1544,0.7022702
286,184.8293,0.7024077
