Iteration,Time,AUC
1,16.81822,0.6008132
2,17.92824,0.6008134
3,18.77956,0.6023019
4,19.65094,0.602345
5,20.60167,0.6023477
6,21.50546,0.6023457
7,22.34922,0.602348
8,23.22562,0.6066673
9,24.0799,0.6066881
10,25.01453,0.6066874
11,25.87946,0.6067153
12,26.78339,0.6067125
13,27.70207,0.6067141
14,28.68278,0.6067179
15,29.55091,0.6067195
16,30.40661,0.6067213
17,31.23475,0.6067226
18,32.19052,0.6067395
19,33.0499,0.6067354
20,33.91107,0.6067397
21,34.80702,0.6067405
22,35.72414,0.6067412
23,36.60349,0.6067407
24,37.47794,0.6067508
25,38.36373,0.6067517
26,39.32611,0.6067511
27,40.14947,0.606752
28,41.01865,0.6081533
29,41.86599,0.6081547
30,42.78972,0.608153
31,43.7069,0.6081532
32,44.6701,0.6081735
33,45.55439,0.6081773
34,46.42039,0.6081759
35,47.32599,0.6081762
36,48.17883,0.6081761
37,49.03247,0.6081786
38,49.88952,0.6081836
39,50.75955,0.6081816
40,51.72328,0.6081816
41,52.54739,0.6081815
42,53.44882,0.6081895
43,54.37851,0.6081895
44,55.24822,0.6081988
45,56.18422,0.6081986
46,57.11132,0.6082053
47,58.09563,0.6082055
48,58.93514,0.6082055
49,58.95024,0.6082058
50,59.78603,0.608207
51,60.6607,0.608207
52,61.50863,0.608207
53,62.39813,0.6082071
54,63.29514,0.6082063
55,64.13269,0.610076
56,65.11592,0.6100765
57,66.02123,0.6100768
58,66.95056,0.6100772
59,67.84187,0.6100766
60,68.79974,0.6100773
61,69.65393,0.6100881
62,70.50726,0.6100939
63,71.46815,0.6100937
64,72.46521,0.6100935
65,73.35501,0.6100953
66,74.2186,0.6100966
67,75.09226,0.6100964
68,76.07685,0.6100969
69,76.95579,0.6100968
70,77.88752,0.6100961
71,78.78733,0.6100973
72,79.62892,0.6100973
73,80.54926,0.6100968
74,81.5421,0.610098
75,82.51098,0.6100971
76,83.40774,0.6100641
77,84.3232,0.6100643
78,85.17814,0.6100663
79,86.0361,0.6100655
80,86.89314,0.6100651
81,87.72644,0.6108179
82,88.70548,0.6108177
83,89.58647,0.6114549
84,90.45525,0.611455
85,91.32,0.6114544
86,92.20434,0.6114483
87,93.13338,0.6114549
88,94.00644,0.6114655
89,94.9904,0.6114589
90,95.86244,0.6114601
91,96.84681,0.6114605
92,97.71234,0.6114669
93,98.56601,0.611467
94,99.404,0.6114674
95,100.2555,0.6114678
96,101.1911,0.611468
97,102.0425,0.6114682
98,102.9773,0.6114681
99,103.8788,0.6114682
100,104.7601,0.6114683
101,105.6493,0.6114682
102,106.4865,0.611468
103,107.3693,0.611469
104,108.2628,0.611469
105,109.1221,0.6114687
106,110.0802,0.6114693
107,110.9651,0.6114697
108,111.8493,0.6114696
109,112.7344,0.6114695
110,113.9477,0.6114698
111,114.8516,0.6114586
112,115.8384,0.6528415
113,116.7033,0.6528413
114,117.6664,0.6528443
115,118.667,0.6528348
116,119.7147,0.6528364
117,120.7036,0.6525537
118,120.6884,0.6529524
119,121.5228,0.6529528
120,122.4859,0.6529525
121,123.5643,0.6529514
122,124.5687,0.6529525
123,125.5903,0.6529525
124,126.6628,0.6529527
125,127.564,0.6530086
126,128.5783,0.6543182
127,129.5364,0.6543181
128,130.5348,0.6543113
129,131.5205,0.6542848
130,132.4835,0.6542813
131,133.5889,0.6542599
132,134.6216,0.6636754
133,135.693,0.663673
134,136.7081,0.6636659
135,137.6875,0.6636657
136,138.6539,0.6636792
137,139.6321,0.6636819
138,140.6105,0.6636806
139,141.5895,0.6636791
140,142.6942,0.6636764
141,143.6738,0.6636794
142,144.6478,0.6636752
143,145.6263,0.6636807
144,146.6519,0.6637397
145,147.6618,0.66375
146,148.8651,0.6639856
147,149.8754,0.6639619
148,151.0353,0.6639496
149,152.0137,0.6639143
150,153.0245,0.6639168
151,154.0655,0.6639192
152,155.4645,0.6636703
153,156.4439,0.6636676
154,157.5143,0.6635985
155,158.491,0.6634619
156,159.5318,0.6715376
157,160.5624,0.6715455
158,161.6981,0.6736873
159,162.8017,0.6739852
160,163.8112,0.6739414
161,164.8794,0.6723538
162,165.9101,0.6723788
163,167.0176,0.6734637
164,168.1028,0.6736902
165,169.144,0.6792991
166,170.3369,0.6795865
167,171.4871,0.6800863
168,172.5917,0.6798024
169,173.7695,0.6818604
170,174.8311,0.6818223
171,175.9298,0.6823397
172,177.0236,0.6833664
173,178.1825,0.6833472
174,179.273,0.6837032
175,180.4962,0.6838098
176,181.5687,0.6834868
177,182.7268,0.684135
178,183.8351,0.6843267
179,184.8863,0.6848904
180,185.9772,0.6850546
181,187.1072,0.6850398
182,188.3007,0.6865027
183,189.4221,0.6865046
184,190.5203,0.6864975
185,191.6292,0.6879728
186,192.7941,0.6879853
187,193.9251,0.688386
188,195.0824,0.6882681
189,196.2436,0.6882917
190,197.4082,0.6893497
191,198.5275,0.6895638
192,199.7091,0.6897706
193,200.7512,0.6904326
194,201.9816,0.6913538
195,203.1018,0.6913843
196,204.1693,0.69152
197,205.2916,0.6916872
198,206.3753,0.691727
199,207.4598,0.6920284
200,208.6457,0.6944171
201,208.7692,0.6945443
202,209.883,0.6946898
203,210.9919,0.6947256
204,212.1196,0.6947958
205,213.222,0.6947483
206,214.4042,0.6947178
207,215.6026,0.6959827
208,216.8481,0.6959839
209,217.9318,0.6959079
210,219.0709,0.6959013
211,220.2638,0.6960622
212,221.4017,0.6959251
213,222.5033,0.6961359
214,223.5895,0.6961212
215,224.8326,0.6974247
216,225.929,0.6973391
217,227.1189,0.6973352
218,228.2271,0.6975245
219,229.3305,0.6974627
220,230.539,0.6983247
221,231.6422,0.6982664
222,232.7273,0.6980527
223,233.9302,0.7014866
224,234.9547,0.7012151
225,236.0865,0.7015812
226,237.1594,0.7011039
227,238.2305,0.7012212
228,239.2514,0.7010248
229,240.3601,0.7012004
230,241.5993,0.7015144
231,242.6971,0.7013003
232,243.8897,0.7014925
233,244.8672,0.7013251
234,245.9922,0.7013586
235,247.3702,0.7014959
236,248.444,0.701926
237,249.5946,0.7019068
238,250.7651,0.7016967
239,251.9859,0.7019555
240,253.0915,0.7017504
