Iteration,Time,AUC
1,16.12531,0.6037687
2,17.19879,0.6090561
3,17.94929,0.6091168
4,18.81865,0.6090515
5,19.58449,0.6090557
6,20.4911,0.609993
7,21.32357,0.6106288
8,22.14126,0.6106333
9,22.91691,0.6106136
10,23.76068,0.6106163
11,24.5418,0.6106203
12,25.51681,0.6114023
13,26.29243,0.6114061
14,27.08405,0.6114059
15,27.99381,0.6114057
16,28.76896,0.6114094
17,29.56008,0.61141
18,30.32848,0.6114066
19,31.10568,0.6114109
20,31.86815,0.6114095
21,32.70066,0.6114108
22,33.54119,0.6114149
23,34.28559,0.6114149
24,35.14235,0.6114155
25,35.90459,0.6118704
26,36.71585,0.6118687
27,37.59042,0.6529822
28,38.37902,0.6529847
29,39.37457,0.6530627
30,40.31707,0.6642207
31,41.1415,0.663983
32,41.96963,0.6658352
33,42.89928,0.6689534
34,43.77196,0.6705216
35,43.69442,0.6726616
36,44.60027,0.6725471
37,45.51216,0.678293
38,46.30563,0.6782959
39,47.1225,0.6782904
40,48.00386,0.6782085
41,48.92865,0.678233
42,49.76295,0.679113
43,50.6433,0.6794038
44,51.61945,0.6808415
45,52.57414,0.680203
46,53.47414,0.6803192
47,54.44747,0.6825101
48,55.34809,0.6824215
49,56.27478,0.6821316
50,57.26582,0.68063
51,58.10602,0.6806256
52,59.05324,0.6817662
53,60.05174,0.6816716
54,60.92417,0.6815541
55,61.79701,0.6816702
56,62.74027,0.681673
57,63.57278,0.6815005
58,64.4657,0.6822375
59,65.3126,0.6822299
60,66.18194,0.6822975
61,67.1412,0.6822616
62,68.06314,0.6814631
63,69.02259,0.6822422
64,69.91952,0.6835313
65,70.95153,0.6836497
66,71.8699,0.684046
67,72.85997,0.6840852
68,73.79723,0.6843191
69,74.71962,0.6842581
70,75.71161,0.683987
71,76.79158,0.6848814
72,77.78499,0.6845367
73,78.71125,0.6852918
74,79.61375,0.6862509
75,80.61023,0.6862227
76,81.51182,0.6863193
77,82.41477,0.6870631
78,83.42538,0.6872695
79,84.3657,0.6871461
80,85.29169,0.6876291
81,86.16424,0.6878736
82,87.21533,0.6863319
83,88.14671,0.6862809
84,89.14574,0.688114
85,90.12461,0.6887356
86,91.13497,0.6887597
87,92.06297,0.6886463
88,92.06068,0.6885485
89,93.03891,0.6887485
90,94.06291,0.6885796
91,95.03288,0.6884691
92,96.10363,0.6891542
93,97.17611,0.6888768
94,98.28019,0.6880679
95,99.37847,0.6881721
96,100.4559,0.6874094
97,101.4921,0.6884956
98,102.5796,0.6886167
99,103.5664,0.6882605
100,104.5276,0.6881476
101,105.5276,0.6883757
102,106.4875,0.6881287
103,107.5353,0.6921519
104,108.5269,0.6927285
105,109.5443,0.6938505
106,110.5096,0.6940972
107,111.5859,0.6935264
108,112.6134,0.6945183
109,113.7764,0.6942742
110,114.7451,0.6936977
111,115.7451,0.6940465
112,116.6557,0.6947204
113,117.8071,0.6948153
114,118.8227,0.6952829
115,119.8449,0.6952125
116,120.8575,0.6952728
117,121.9714,0.6951983
118,122.9611,0.6957265
119,124.0134,0.6965312
120,125.0767,0.6966506
121,126.006,0.6969534
122,126.9072,0.6976642
123,127.8222,0.6978835
124,128.9069,0.6989335
