Iteration,Time,AUC
1,17.11964,0.6068112
2,18.31429,0.6068114
3,19.19447,0.6068115
4,20.04176,0.606812
5,20.99245,0.6068121
6,21.86578,0.6068133
7,22.83847,0.6068129
8,23.74374,0.6068145
9,24.61764,0.6068147
10,25.44676,0.606814
11,25.39026,0.606815
12,26.30568,0.6068186
13,27.14446,0.6068177
14,28.08715,0.6077465
15,29.14917,0.6077446
16,30.15326,0.6077469
17,31.05401,0.6077482
18,31.94724,0.6077467
19,32.73353,0.6077452
20,33.63562,0.6077463
21,34.44649,0.6077515
22,35.27904,0.6077521
23,36.15241,0.6077519
24,37.03829,0.6077508
25,37.87326,0.6077504
26,38.7388,0.6077504
27,39.65268,0.6077506
28,40.47432,0.6091536
29,41.29627,0.609156
30,42.15105,0.6091573
31,43.00653,0.6091599
32,43.84269,0.6101059
33,44.66954,0.6101051
34,45.54379,0.6101053
35,46.32281,0.6101094
36,47.13114,0.6101089
37,47.90713,0.6101107
38,48.80619,0.6101129
39,49.68665,0.6101131
40,50.67007,0.6101134
41,51.45503,0.6101131
42,52.45594,0.6101131
43,53.23428,0.6101129
44,54.11899,0.6101146
45,54.99122,0.6101147
46,55.81886,0.610115
47,56.60267,0.610117
48,57.48865,0.6101179
49,58.24867,0.6101181
50,59.07637,0.6101184
51,59.82677,0.6100877
52,60.76671,0.6100724
53,61.62135,0.6100728
54,62.45156,0.6100736
55,63.55597,0.6508682
56,64.41706,0.6508684
57,65.29394,0.6508692
58,66.33284,0.6590648
59,67.32954,0.6590659
60,68.35635,0.6590667
61,69.32414,0.659067
62,70.34633,0.6590678
63,71.26924,0.6590684
64,71.39105,0.6590693
65,72.42524,0.6590699
66,73.47649,0.6714649
67,74.61461,0.6723363
68,75.54847,0.6723362
69,76.58628,0.6723361
70,77.59629,0.6747505
71,78.5824,0.6753298
72,79.73281,0.6753307
73,80.68296,0.6753306
74,81.978,0.6753306
75,82.96892,0.675331
76,83.94392,0.6753323
77,84.90291,0.6754323
78,85.87271,0.6753315
79,86.93119,0.6754301
80,88.01966,0.6753503
81,89.06716,0.6753244
82,90.11071,0.6757564
83,91.05957,0.6757545
