Iteration,Time,AUC
1,10.9447,0.6556958
2,12.20972,0.655702
3,13.41515,0.676009
4,14.34369,0.6760101
5,15.38128,0.6762362
6,16.33613,0.6770059
7,17.39323,0.6768849
8,18.31006,0.6769104
9,19.40378,0.6777114
10,20.68598,0.6776443
11,22.08646,0.6776914
12,23.19015,0.6772643
13,24.23273,0.6780644
14,25.17295,0.6771928
15,26.19984,0.6780125
16,27.39484,0.677249
17,28.3137,0.6784197
18,29.24106,0.6786115
19,30.40381,0.6785893
20,30.49241,0.6786424
21,31.60001,0.6843722
22,32.84917,0.6838438
23,33.94212,0.6836457
24,34.97834,0.6841016
25,35.91046,0.6836245
26,36.97029,0.683506
27,38.0525,0.6823998
28,39.09807,0.6824093
29,40.30301,0.6814109
30,41.44796,0.681273
31,42.65592,0.681471
32,43.88375,0.6824584
33,44.94599,0.6835631
34,46.2694,0.6834521
35,47.49477,0.6834272
36,48.79885,0.6834381
37,49.94916,0.6835923
38,51.14133,0.6833427
39,52.26327,0.684159
40,53.4559,0.6843241
41,54.67566,0.6848167
42,55.77661,0.6848527
43,57.02161,0.6847525
44,58.22279,0.6845923
45,59.42388,0.6847473
46,60.50101,0.6848078
47,61.60074,0.6848543
48,62.86311,0.6848123
49,64.3125,0.6847679
50,65.47245,0.6847449
51,66.56777,0.6848526
52,67.67749,0.6849401
53,69.13424,0.6849533
54,70.40519,0.6848554
55,71.79457,0.6849111
56,72.23672,0.6849348
57,73.60823,0.6845859
58,74.96346,0.6846315
59,76.24707,0.6848942
60,77.56346,0.6845795
61,78.78532,0.6845123
62,80.06097,0.6844851
63,81.48132,0.6843184
64,82.8785,0.6842734
65,84.24868,0.6843267
66,85.51407,0.6844261
67,86.74531,0.6844139
68,88.0801,0.6845444
69,89.37389,0.6845694
70,90.94415,0.684692
71,92.30171,0.6847606
72,93.68985,0.6844841
73,94.9612,0.6846556
74,96.26233,0.6847171
75,97.63718,0.684704
76,98.89845,0.6847968
77,100.196,0.6846912
78,101.7104,0.6847883
79,102.0997,0.6847325
80,103.6897,0.6847111
81,105.0104,0.6872292
82,106.411,0.6871232
83,107.7216,0.6875086
84,109.0452,0.6879076
85,110.4005,0.6887909
86,111.6895,0.6886843
87,113.0189,0.6884822
88,114.3546,0.6884756
89,115.7414,0.688568
90,117.1281,0.6887104
91,118.5599,0.6889699
92,119.8842,0.6893406
93,121.2236,0.6893182
94,122.7155,0.6897289
95,124.305,0.6897245
96,125.6731,0.689855
97,127.0269,0.6901009
98,128.4526,0.690205
99,129.9157,0.6900962
100,131.2174,0.6900176
101,132.8481,0.6901236
102,133.4626,0.6902129
103,135.0296,0.6907098
104,136.595,0.6907568
105,138.0259,0.6908201
106,139.4078,0.690809
107,140.9427,0.6909829
108,142.3783,0.6912141
109,143.7901,0.6916273
110,145.1537,0.6919822
111,146.5231,0.6921561
112,148.2472,0.6919307
113,149.7632,0.6921883
114,151.1605,0.6922843
