Iteration,Time,AUC
1,23.10894,0.7638556
2,28.55912,0.7740401
3,33.09394,0.779822
4,38.68703,0.7851655
5,44.03678,0.7888931
6,49.24144,0.7917042
7,54.5711,0.7946866
8,60.19093,0.7974939
9,64.1599,0.800353
10,69.13166,0.8024946
11,74.53681,0.8044881
12,79.58559,0.8058086
13,84.89168,0.806983
14,89.75945,0.8081558
15,94.76437,0.8092239
16,98.9227,0.8102726
17,103.7601,0.8111477
18,109.0227,0.811949
19,112.4754,0.8124654
20,117.3916,0.8131328
21,122.3985,0.8141428
22,126.6343,0.8146238
23,129.9939,0.8152548
24,134.3473,0.8158629
25,138.9702,0.8164524
26,143.6601,0.8171306
27,146.6635,0.8172683
28,150.8742,0.8176663
29,154.4229,0.8179418
30,158.5596,0.8182937
31,162.0402,0.8186755
32,166.14,0.8189384
33,169.5816,0.8191288
34,173.685,0.8194903
35,178.3172,0.8201397
36,182.847,0.8206
37,186.9488,0.8209696
38,190.4628,0.8210687
39,192.9214,0.8212161
40,198.33,0.8215888
41,202.3136,0.8218903
42,206.838,0.8221687
43,209.7613,0.8222204
44,214.6938,0.8226472
45,218.7683,0.8229121
46,222.836,0.8232291
47,226.5407,0.8234289
48,231.2137,0.8237184
49,234.8764,0.8239238
50,238.9148,0.824206
51,242.0542,0.8243728
52,246.6632,0.8245526
53,251.5503,0.8248531
54,254.7869,0.8249543
55,258.8836,0.8251841
56,262.643,0.8252766
57,266.0551,0.8253513
58,269.2514,0.8254373
59,271.7741,0.8256
60,276.7913,0.8259471
61,280.6376,0.8261998
62,284.2509,0.8263706
63,288.5987,0.8265749
64,292.2414,0.8266197
65,296.0622,0.8267285
66,298.7071,0.8268803
67,303.1138,0.8271842
68,308.0722,0.8274916
69,312.9151,0.8277395
70,316.6402,0.8278729
71,319.8178,0.8279941
72,323.8022,0.828141
73,328.0059,0.8282937
74,331.1153,0.8283451
75,334.1141,0.8283663
76,337.0985,0.8284459
77,342.4211,0.8287185
78,345.8918,0.828931
79,350.0676,0.8290643
80,354.3671,0.8292091
81,358.3383,0.8292974
82,361.8882,0.8293874
83,366.328,0.8295279
84,370.4551,0.8296317
85,375.4842,0.8299274
86,377.7308,0.8299677
87,381.3046,0.8300303
88,384.6626,0.830078
89,388.4472,0.8301585
90,393.6775,0.8303251
91,398.5046,0.8305751
92,402.3547,0.8306498
93,405.8023,0.8307313
94,410.9044,0.8309542
95,415.7057,0.8311073
96,421.0432,0.8312796
97,424.3293,0.8313279
98,428.489,0.8314214
99,431.8333,0.8314659
100,434.9857,0.831551
101,439.7011,0.8317737
102,444.2324,0.831919
103,448.2334,0.8319686
104,452.3647,0.8320635
105,455.0347,0.8321357
