Iteration,Time,AUC
1,19.65386,0.7800972
2,25.9964,0.7890604
3,32.46609,0.794703
4,39.71006,0.7984756
5,45.75329,0.8015317
6,53.26851,0.804752
7,59.57986,0.8072776
8,66.6423,0.8097551
9,72.81702,0.8119871
10,79.17144,0.8136953
11,86.24419,0.8155684
12,92.55051,0.8170013
13,98.66436,0.8182105
14,106.0354,0.8194819
15,112.1693,0.8205125
16,119.3926,0.8215806
17,125.2954,0.8225265
18,132.5842,0.8233552
19,138.7716,0.8242642
20,145.9456,0.8250716
21,151.8794,0.8258507
22,159.1731,0.8265754
23,165.1605,0.8272595
24,172.3857,0.8280656
25,178.5549,0.828687
26,185.2755,0.8291655
27,191.817,0.8297232
28,198.8709,0.8301901
29,205.4156,0.8305877
30,212.9123,0.8311615
31,218.9982,0.8315241
32,225.6727,0.8319271
33,232.5085,0.8323314
34,239.6085,0.8326913
35,246.3983,0.8331686
36,252.4709,0.8336054
37,259.3141,0.8340045
38,265.5551,0.8343925
39,272.7825,0.8348364
40,278.7502,0.8350856
41,285.7656,0.8353593
42,291.9451,0.8356951
43,298.6106,0.8359664
44,304.0524,0.8363468
45,311.2396,0.8365979
46,318.2283,0.8369359
47,323.9347,0.837136
48,330.7004,0.8374023
49,334.6602,0.8375661
50,340.6107,0.8377779
51,346.8024,0.8380428
52,353.3316,0.8382026
53,359.8176,0.8383413
54,363.1731,0.838482
55,368.6734,0.8385889
56,374.7473,0.838745
57,377.1885,0.8388123
58,380.3083,0.8388603
59,382.7115,0.8389034
60,384.2071,0.8389099
61,390.6782,0.8390505
62,393.4572,0.8390641
63,396.2555,0.8391664
64,400.4217,0.8392552
65,403.5293,0.8393006
66,408.5086,0.8395375
67,414.5958,0.839726
68,418.7465,0.8398209
69,421.1446,0.8398391
70,427.3826,0.8400476
71,432.0144,0.8401518
72,433.8806,0.8401805
73,437.6811,0.8402475
74,441.4984,0.840298
75,446.4282,0.8404322
76,448.6408,0.8404329
77,450.9325,0.8404329
78,453.209,0.8404422
79,454.4845,0.8404542
80,456.9789,0.8404598
81,459.2874,0.8404584
82,461.9644,0.8404725
83,463.3155,0.8404759
84,465.6877,0.8404795
85,467.9529,0.8404799
86,470.7993,0.8404927
87,476.9482,0.840651
88,479.2508,0.8406579
89,481.5233,0.8406556
90,484.2837,0.8406755
91,485.7669,0.8406693
92,488.1696,0.8406634
93,490.557,0.8406712
94,493.4206,0.8406788
95,494.8293,0.8406849
96,497.3871,0.8406813
97,499.768,0.8406747
98,502.3106,0.8406796
99,504.6094,0.8407071
100,509.8886,0.8407761
101,512.9863,0.840807
102,514.7455,0.8408135
103,521.6142,0.8411864
104,524.1622,0.8412031
105,530.1934,0.8413891
106,533.1701,0.8413938
107,536.2665,0.8414692
108,540.9978,0.8415753
109,543.3214,0.841568
110,546.3255,0.8416384
111,548.9763,0.8416435
112,553.5239,0.8417882
113,559.4276,0.8419093
114,562.0654,0.841908
115,564.8085,0.8419229
116,566.6606,0.8419762
117,569.0256,0.84198
118,571.3361,0.8419773
119,576.5209,0.8421305
120,578.8941,0.8421424
121,582.6136,0.8422106
122,586.2456,0.8422976
123,589.4346,0.8423325
124,591.7208,0.8423315
125,594.9503,0.8423757
126,597.3288,0.8423678
127,601.4916,0.8424642
128,606.4115,0.8425527
129,609.7975,0.8425766
130,612.5543,0.842589
131,616.8913,0.8427257
132,619.8653,0.8427465
133,622.7694,0.8427667
134,625.1488,0.8427708
135,627.3695,0.8427954
136,630.2576,0.8428183
137,632.4956,0.8428192
138,634.999,0.8428422
139,637.0725,0.842844
140,639.2436,0.8428426
141,641.769,0.8428419
142,643.0404,0.8428466
143,645.4056,0.8428544
144,647.6565,0.8428598
145,650.5013,0.8428724
146,652.6831,0.8428732
147,655.488,0.8429246
148,659.5241,0.8430084
149,663.3239,0.8431007
