Iteration,Time,AUC
1,14.15216,0.7782024
2,20.05295,0.7873675
3,26.66196,0.7924489
4,33.16663,0.7966615
5,38.84329,0.8000423
6,45.65932,0.8027831
7,50.86766,0.8050266
8,57.41535,0.8070643
9,63.88373,0.8092806
10,69.89013,0.8112862
11,75.40412,0.812707
12,80.79608,0.8143426
13,85.33259,0.8152013
14,90.8425,0.8162126
15,96.44544,0.8172455
16,102.1619,0.8181738
17,107.4387,0.8191141
18,112.3971,0.8199461
19,116.4254,0.8206158
20,121.2136,0.8211715
21,124.642,0.8216554
22,130.0785,0.8223952
23,134.8925,0.8228996
24,138.3538,0.8232724
25,142.7771,0.823632
26,146.5494,0.8240374
27,152.1176,0.8249272
28,157.5817,0.8254737
29,161.0034,0.8256172
30,166.0377,0.8260036
31,171.1555,0.8264722
32,173.2417,0.82656
33,178.3533,0.8270349
34,183.8051,0.8276264
35,186.8455,0.8277299
36,190.2139,0.8279658
37,194.1712,0.8281138
38,198.6375,0.8286877
39,204.5448,0.8292858
40,208.5323,0.8294376
41,210.8306,0.8295809
42,216.3601,0.8298594
43,219.8504,0.830084
44,224.6253,0.8304127
45,228.5077,0.8305744
46,232.7729,0.8309509
47,236.8423,0.8311366
48,240.7991,0.8313948
49,244.9435,0.8315656
50,248.3374,0.8317703
51,252.0035,0.8318211
52,255.0254,0.8319717
53,260.1931,0.8322087
54,264.7525,0.8323626
55,268.7115,0.8325555
56,271.9881,0.8327084
57,276.3429,0.8329365
58,279.9685,0.8331023
59,285.0453,0.8333421
60,288.2097,0.833474
61,292.6573,0.8336008
62,296.2713,0.8337833
63,299.9972,0.8338507
64,302.3227,0.8338842
65,306.1298,0.8340167
66,310.7048,0.834241
67,315.151,0.8345002
68,317.7605,0.8345757
69,322.8914,0.8347636
70,327.8165,0.8349039
71,333.4746,0.835208
72,336.0964,0.8352617
73,340.8052,0.8353623
74,344.3081,0.8354295
75,347.7028,0.835611
76,352.2555,0.8357846
77,354.8363,0.8358171
