Iteration,Time,AUC
1,11.10223,0.7440366
2,13.9668,0.7532983
3,15.90939,0.760828
4,18.67473,0.7672501
5,21.3684,0.7728176
6,24.22596,0.7778027
7,27.14139,0.7808464
8,29.84809,0.7845913
9,32.65837,0.7880116
10,34.29079,0.7901708
11,37.30157,0.7920386
12,39.87905,0.7935357
13,42.57968,0.7947406
14,45.45436,0.7958829
15,48.0348,0.7971102
16,49.83875,0.7982792
17,52.42239,0.7993818
18,55.12298,0.8001312
19,57.82583,0.8011932
20,60.641,0.8020895
21,62.94157,0.8026647
22,65.36344,0.8033328
23,66.90624,0.8038301
24,69.44223,0.8043654
25,71.76658,0.8047397
26,74.14523,0.8053504
27,76.97052,0.8059369
28,79.64474,0.806315
29,82.47304,0.8074404
30,84.65385,0.8077477
31,85.89413,0.8081067
32,88.30907,0.8083832
33,90.67765,0.8087293
34,93.2204,0.8091023
35,95.26859,0.8092379
36,98.13208,0.8096021
37,100.7017,0.8099378
38,102.2645,0.810201
39,104.7441,0.8105997
40,106.787,0.8107347
41,109.3883,0.8110013
42,112.1438,0.8115924
43,114.2043,0.8118215
44,115.9081,0.8120727
45,118.448,0.8123791
46,120.7617,0.8125503
47,123.1192,0.8127056
48,125.4515,0.812851
49,127.9235,0.8131293
50,130.1057,0.8134129
51,132.3274,0.8135362
52,133.5567,0.813752
53,135.8886,0.8141027
54,138.2763,0.8143506
55,140.4093,0.8144557
56,142.8024,0.8146603
57,144.9624,0.8148068
58,147.6482,0.8151585
59,149.7199,0.8152433
60,151.2365,0.8153961
61,153.6421,0.8156138
62,155.9415,0.8157655
63,158.5835,0.8160386
64,161.1752,0.8163938
65,163.4703,0.8164723
66,165.5503,0.8165574
67,166.9492,0.8168981
68,169.5549,0.8171587
69,172.0906,0.8174224
70,174.7345,0.817531
71,177.4599,0.8178221
72,179.0084,0.8179573
73,181.7156,0.8181488
74,183.9316,0.8181949
75,186.5571,0.8184492
76,188.9441,0.8186771
77,190.9026,0.8187414
78,193.4475,0.8188394
79,195.0338,0.8189669
80,197.7359,0.8192221
81,199.9597,0.8193967
82,202.0634,0.8194831
83,204.1904,0.8195302
84,206.8403,0.8197954
85,208.8363,0.8198427
86,210.9627,0.8199317
87,212.6198,0.8202391
88,215.4364,0.8205388
89,218.3093,0.8207983
90,220.4974,0.820857
91,222.7824,0.8209011
92,225.1243,0.8209722
93,226.6371,0.8210854
94,228.9334,0.8211362
95,231.2611,0.8212162
96,233.9944,0.8214079
97,236.6864,0.8215718
98,238.9021,0.8216603
99,241.2541,0.8217356
100,243.8875,0.8218542
101,244.964,0.8219192
102,247.9598,0.8221035
103,250.8179,0.8223488
104,252.8289,0.8223902
105,255.3477,0.82256
106,258.305,0.8227397
107,260.5981,0.8228196
108,261.6133,0.8228992
109,263.6721,0.8229207
110,265.8538,0.8229822
111,268.4415,0.8230738
112,270.6766,0.8231093
113,273.311,0.8232141
114,275.8162,0.8233442
115,277.1535,0.8234318
116,279.8309,0.8235268
117,282.6118,0.8236234
118,284.7924,0.8236605
119,287.453,0.8238439
120,290.0533,0.8239543
121,291.2828,0.824039
122,293.769,0.8241068
123,296.1742,0.8242611
124,298.7721,0.8243446
125,301.0349,0.8243617
126,303.2536,0.8243886
127,304.4405,0.8244243
128,307.1268,0.8245764
129,309.4487,0.8246441
130,311.6147,0.8246742
131,313.7814,0.8247266
132,316.607,0.824898
133,319.2023,0.8250065
134,320.6135,0.8250596
135,322.821,0.8250796
136,325.3199,0.8252026
